descriptor_set,n_features,selected_alpha,selected_alpha_at_lower_boundary,selected_alpha_at_upper_boundary,val_mse,val_mae,test_mae,test_rmse,test_bias,damaged_entry_mae,zero_damage_mae,high_damage_mae,high_damage_bias,high_damage_underestimation_ratio,old_grid_alpha,old_grid_test_mae,old_grid_test_rmse,old_grid_damaged_entry_mae,test_mae_change_vs_old_grid,test_mae_change_vs_old_grid_percent,mae_increase_vs_oracle_percent
oracle_full,92,0.0001,False,False,0.0031115124393745514,0.038690034320835,0.03928745192749888,0.05864489962227138,0.005950887494313758,0.06328921394750639,0.028587871267977447,0.08227807696712874,-0.061411293588765375,0.7992700729927007,0.01,0.0393357150589258,0.0585480689149896,0.0634314341956843,-4.826313142692468e-05,-0.12269544701202305,0.0
legacy_no_meta,86,0.0003,False,False,0.0035002543021154272,0.04147252205638702,0.0423507660379243,0.0617870552650341,0.0053494706329775136,0.06929065663085,0.03034141721939116,0.09071095349210677,-0.07210142565794471,0.843065693430657,0.01,0.042457719638487,0.0617063035365752,0.0696519575149201,-0.0001069536005626967,-0.25190613502884784,7.797181950304305
signal_derived_with_ground,78,0.0003,False,False,0.00375472334056629,0.04382235062874399,0.04509373330822819,0.06440124982158656,0.006105362199372817,0.07214731851645143,0.033033701347935894,0.09526057999271612,-0.07830632699713341,0.8613138686131386,0.01,0.04520968936461,0.0644310067401629,0.0724924322554971,-0.00011595605638180934,-0.25648496596966086,14.778971645817684
structural_response_only,59,1e-06,True,False,0.005161257438235742,0.05265729995904702,0.053456515322020566,0.07394983045943701,0.004217074964792724,0.08554900589313934,0.039150224344533885,0.1200251461085081,-0.11224297081397117,0.9306569343065694,0.01,0.0534579144313072,0.0738958665430734,0.0856587179732794,-1.3991092866344479e-06,-0.0026172163682746867,36.065111630729575
