candidate,C,gamma,epsilon,mse,mae,rmse,bias,damaged_mae,zero_mae,low_mae,medium_mae,high_mae,high_bias,high_abs_bias,high_underestimation,n_zero,n_low,n_medium,n_high
71,1000.0,0.003,0.03,0.0012512588241516056,0.02174091191585765,0.03537313704142744,0.007660344417533212,0.03097343691193951,0.017846624121301793,0.02774023309215071,0.0272949392670894,0.034501835514634115,-0.01840473516832802,0.01840473516832802,0.6591760299625468,1266,90,177,267
56,750.0,0.003,0.03,0.0012604941058968681,0.02193144278425299,0.03550343794475217,0.007618732362430328,0.031141014356416565,0.018046836765662672,0.02688048928046695,0.027578662593950722,0.03493870543803424,-0.019762078489147464,0.019762078489147464,0.6704119850187266,1266,90,177,267
67,1000.0,0.001,0.02,0.0012928462811973474,0.022396677566348524,0.035956171670484434,0.003486023032573078,0.0364577775887115,0.01646569224885893,0.02372175377013729,0.032328139804387646,0.043488444373344474,-0.03308258566995977,0.03308258566995977,0.7415730337078652,1266,90,177,267
70,1000.0,0.003,0.02,0.001303999800578564,0.02049979450858348,0.03611093740930252,0.006817565610867075,0.02982990794961796,0.01656434381544571,0.02848653525995507,0.027544847610875646,0.03179754548529979,-0.01680645437810657,0.01680645437810657,0.6591760299625468,1266,90,177,267
55,750.0,0.003,0.02,0.0013094359147467532,0.020804539177890328,0.03618612876154001,0.006588064730617929,0.030530623381014164,0.016702067641975533,0.028131454006352235,0.02818468039815604,0.0328945078442556,-0.018760554607293423,0.018760554607293423,0.6479400749063671,1266,90,177,267
41,500.0,0.003,0.03,0.001309619837238941,0.022371032017517885,0.036188670012020904,0.007247669397859818,0.03211037554974589,0.01826296768401887,0.02713987762509869,0.028489373135551593,0.03618626409105914,-0.022624674447047893,0.022624674447047893,0.6928838951310862,1266,90,177,267
68,1000.0,0.001,0.03,0.0013098385438909375,0.023316778721767264,0.036191691641742,0.005012971989657966,0.03554447629957484,0.01815912429321336,0.023681314440628137,0.03067536206564192,0.042771134676770836,-0.03267204212838752,0.03267204212838752,0.7303370786516854,1266,90,177,267
72,1000.0,0.003,0.04,0.0013206284840572495,0.023412395802469805,0.036340452447063035,0.008361452593456036,0.03295257080150146,0.019388340945058345,0.027277892190773926,0.02818465526799555,0.038026136810475335,-0.020750641365662917,0.020750641365662917,0.6779026217228464,1266,90,177,267
40,500.0,0.003,0.02,0.001324583863841831,0.021285674974544918,0.03639483292779115,0.0063510346242899515,0.031221539184720842,0.01709471803281195,0.027899029630052564,0.0285972428898348,0.03408118826380315,-0.021674600365194644,0.021674600365194644,0.6704119850187266,1266,90,177,267
57,750.0,0.003,0.04,0.0013381697135618031,0.023752219332111354,0.03658100208526009,0.008386970278758923,0.03330912055757871,0.019721109336535075,0.027223212132278754,0.028483313312023632,0.03855968100978937,-0.022312880320637853,0.022312880320637853,0.6816479400749064,1266,90,177,267
25,300.0,0.003,0.02,0.0013413124340583588,0.021921019583911835,0.03662393253131562,0.006008088121682328,0.032533305398182714,0.017444747368413695,0.02724327143242358,0.029774227936106457,0.03614551426599477,-0.024968220114801255,0.024968220114801255,0.6891385767790262,1266,90,177,267
52,750.0,0.001,0.02,0.0013603588577190313,0.023039452164518692,0.03688304295633742,0.003150727701118448,0.03788204085630214,0.016778834185519988,0.0233297509338003,0.033336893080702916,0.04580038261400336,-0.03581804841850744,0.03581804841850744,0.7490636704119851,1266,90,177,267
26,300.0,0.003,0.03,0.0013733018780065517,0.023170487812751307,0.03705808788923886,0.0068990890456832234,0.03351763341020497,0.01880605199202441,0.02806788423734198,0.029175500167968414,0.03823312033692237,-0.026555754901651414,0.026555754901651414,0.704119850187266,1266,90,177,267
53,750.0,0.001,0.03,0.0013939902229510664,0.024128347575802206,0.03733617847277713,0.004655994481195576,0.037393218655896024,0.01853321238088111,0.0239342639482081,0.03193663450931214,0.045547231081503756,-0.035961356733116505,0.035961356733116505,0.7415730337078652,1266,90,177,267
42,500.0,0.003,0.04,0.001397928564644048,0.024389781547692082,0.03738888290179379,0.008567847923716133,0.03370728042676977,0.020459651688744626,0.027121143718825923,0.028300645440882594,0.0395115002627884,-0.02490686236718548,0.02490686236718548,0.6928838951310862,1266,90,177,267
64,1000.0,0.00075,0.02,0.0014210382054130354,0.023626796341423357,0.0376966604013278,0.0028310930793776844,0.03943688043285043,0.01695808788579772,0.023996354235713287,0.03452998480619393,0.047894438049556586,-0.03789967142186344,0.03789967142186344,0.7640449438202247,1266,90,177,267
73,1000.0,0.01,0.02,0.0014387590401025007,0.021186418169417742,0.03793097731541465,0.006637298255017266,0.03069141729074389,0.017177200530564533,0.027891980841732063,0.02759885880457388,0.03368517059584934,-0.01979285177176782,0.01979285177176782,0.6779026217228464,1266,90,177,267
43,500.0,0.01,0.02,0.0014407237205711807,0.02145678040762923,0.03795686657999025,0.006752694399520437,0.030895270322647588,0.017475616415038548,0.028544750649957065,0.027668480352635083,0.033826688282326836,-0.020186888290655385,0.020186888290655385,0.6891385767790262,1266,90,177,267
69,1000.0,0.001,0.04,0.001442992120864504,0.02561543495772274,0.03798673611755166,0.0071733683719558735,0.036704872546955696,0.02093789967126903,0.02607827145367811,0.030791236119787513,0.04420714874921694,-0.03288397104668619,0.03288397104668619,0.7565543071161048,1266,90,177,267
58,750.0,0.01,0.02,0.0014440701019282054,0.021298854756332964,0.03800092238259758,0.006664596613337024,0.030763899592766618,0.017306489872718767,0.028156631389842313,0.02782018404492884,0.03359420592321783,-0.019900321074305675,0.019900321074305675,0.6928838951310862,1266,90,177,267
27,300.0,0.003,0.04,0.0014443289128912484,0.025061856947397376,0.038004327554783134,0.008200302468067973,0.034898917718183875,0.020912575390051407,0.027096054562656662,0.02924673616600673,0.041276048125422835,-0.02852823699904889,0.02852823699904889,0.7228464419475655,1266,90,177,267
65,1000.0,0.00075,0.03,0.0014518308096088332,0.024712705491192446,0.03810289765370651,0.004405812976917035,0.03894524559512668,0.018709406584793652,0.023628253093365182,0.032945931190230295,0.048085350369752866,-0.037744494342496715,0.037744494342496715,0.7565543071161048,1266,90,177,267
28,300.0,0.01,0.02,0.0014653423787937033,0.021769007946527263,0.03827979073602288,0.0068963489819922116,0.031301482993254894,0.017748200936296178,0.029591811837231027,0.027671817760994408,0.03428395921105358,-0.020842469646356995,0.020842469646356995,0.6853932584269663,1266,90,177,267
37,500.0,0.001,0.02,0.0014683368227052407,0.024055514429373055,0.038318883369759624,0.002589253408468817,0.04043842648637171,0.017145186594904428,0.0241239529203575,0.03521104471166681,0.049403030213203344,-0.039829329588704554,0.039829329588704554,0.7640449438202247,1266,90,177,267
44,500.0,0.01,0.03,0.0014858796719769344,0.023294397995571287,0.03854710977462428,0.007985804057484827,0.03220819772034438,0.019534548822562725,0.02652260533588416,0.027343155570674633,0.03734982983679744,-0.023789090949329725,0.023789090949329725,0.704119850187266,1266,90,177,267
13,100.0,0.01,0.02,0.0014949875513874695,0.022548760039147738,0.03866506887860759,0.006453990880748858,0.03322281462185124,0.018046433698576118,0.02855952949965225,0.029152523125283974,0.03749299161020446,-0.02522306337823324,0.02522306337823324,0.7078651685393258,1266,90,177,267
49,750.0,0.00075,0.02,0.0015016038649293135,0.02432653225565701,0.03875053373734759,0.0023039099313052484,0.041474884640671554,0.017093340965295422,0.02425188321147945,0.03594506746249228,0.050946224600091114,-0.04095238470527644,0.04095238470527644,0.7640449438202247,1266,90,177,267
74,1000.0,0.01,0.03,0.001502187652653943,0.02319171056082276,0.038758065646442456,0.007943314096436921,0.03230288748774795,0.019348607496859058,0.02695889008000249,0.027828214950488307,0.03707059088022752,-0.02320214687152744,0.02320214687152744,0.7340823970037453,1266,90,177,267
