method,noise_level,noise_percent,replicate,mse_change_percent,mae_change_percent,rmse_change_percent,damaged_mae_change_percent,zero_mae_change_percent,low_mae_change_percent,medium_mae_change_percent,high_mae_change_percent,high_abs_bias_change_percent,high_underestimation_change_pp
calibrated_svr,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated_svr,0.05,5,0,373.2254000808401,116.23621331920155,117.53744507115096,87.13383075716165,138.7864775820719,113.80120383624049,87.99891858265767,79.54816881010764,402.21242578217107,-9.48905109489051
calibrated_svr,0.05,5,1,348.8606131240489,111.97853997216541,111.86330808425724,82.77021141521305,134.61089751993353,109.95255754337425,85.60546026701562,73.99557669371715,371.3299442552835,-9.48905109489051
calibrated_svr,0.05,5,2,345.55849006259774,114.40793529956493,111.08256442979787,83.65954955703249,138.23362114066876,107.78827178195564,90.50836450854767,73.55877801712724,283.6939276198176,-5.839416058394159
calibrated_svr,0.05,5,3,370.1923488462888,117.8058478772942,116.83919130228486,86.11589602777833,142.36111537681307,95.7878554434203,91.97777880320871,80.40383353751082,331.28175551356816,-8.029197080291967
calibrated_svr,0.05,5,4,367.0819327627174,117.45014154571751,116.1207839988365,90.60986751854082,138.2475890024823,101.97190428309928,98.8061828333591,83.20051347982455,350.3102689377056,-8.029197080291967
calibrated_svr,0.1,10,0,2083.4975650585548,452.04450933696893,367.27909915365944,296.9573708472915,572.2152874256435,418.7996402158719,313.3875778438029,255.63989677860513,1885.288365071024,-18.97810218978102
calibrated_svr,0.1,10,1,2108.098392540219,452.0321502922041,369.90407452374996,294.1020381274688,574.4058341920532,381.19254176444883,336.50178741226756,248.2092724942095,1870.0832174715738,-22.262773722627735
calibrated_svr,0.1,10,2,2143.7762351557076,460.60842437091037,373.68515230643527,296.1983632153824,588.0031597891631,376.1943424222231,332.9741691559074,255.20213746359462,2112.237955013438,-20.802919708029194
calibrated_svr,0.1,10,3,2100.791863880505,452.951176108818,369.12598136113763,292.78597952514303,577.0567369156339,400.63476750168184,325.20186573518953,246.67580278868306,1798.8571674409031,-20.802919708029194
calibrated_svr,0.1,10,4,2081.9008243793573,448.58443025823124,367.10821277080515,289.0986168185152,572.1635644262883,393.86692111732185,297.0920888969635,256.8447003110603,1793.8483371682782,-20.072992700729923
calibrated_svr,0.2,20,0,9795.738212426208,1247.7986746859522,894.7732511696425,672.3489123692076,1693.691521520243,1069.7100298739106,792.300548723867,502.1830360367652,4544.603666833329,-29.1970802919708
calibrated_svr,0.2,20,1,9731.998264170408,1242.3814561751599,891.5643329693947,662.2609224013935,1691.893495714473,1005.663927949724,788.6195967474141,503.0903703442269,4558.758379293514,-29.92700729927007
calibrated_svr,0.2,20,2,9793.831045211544,1249.960815673176,894.6773871568382,676.5281963213273,1694.2906596564999,1058.3304886491119,801.4304150931217,507.87680707189827,4500.078239849639,-29.92700729927007
calibrated_svr,0.2,20,3,9699.230840374381,1244.0425308708698,889.9106444712262,678.4387837221858,1682.3060970611202,1038.1335149461243,799.613688575379,517.6823987284965,4428.669390394211,-28.832116788321166
calibrated_svr,0.2,20,4,9827.707168517996,1252.3661192408458,896.3788018880168,673.3288719155887,1701.0387637363265,1069.6367436981106,804.9154345921414,497.2352365419938,4571.959332584583,-29.1970802919708
standard_svr,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standard_svr,0.05,5,0,312.3983760016728,102.37649730678737,103.0759404758901,66.57571746828003,131.55955367301812,110.7789961567976,59.265218765874785,60.08442874560701,-84.34825419523423,-17.51824817518248
standard_svr,0.05,5,1,291.440735381927,97.35189786480997,97.84861267694723,60.80646386566369,127.14196012424462,106.30717527815585,56.91383472599681,52.18720718004,-81.17550777575704,-22.26277372262774
standard_svr,0.05,5,2,289.4938481975591,100.3739731017814,97.35598501123776,63.06944368452074,130.78281306589483,103.26498071226753,59.51952113247809,55.51444023583305,-68.83884085508618,-16.423357664233574
standard_svr,0.05,5,3,309.13946079916525,103.01947122877118,102.27196068639006,64.4264068541,134.4786622875142,89.62554645062927,61.068939698525114,60.293830787277855,-75.04305203324628,-17.15328467153284
standard_svr,0.05,5,4,306.06450714934766,102.88964510644676,101.51042334066682,68.93489306076314,130.5679093040538,95.73467184543702,67.5714960487202,63.36248965792859,-78.36146871048103,-17.88321167883211
standard_svr,0.1,10,0,1776.3294472361465,405.30802817395806,333.16618603443027,250.2154652056909,531.7319504321507,407.2046118436802,249.60903537920382,213.6367942790495,99.51052091533872,-37.95620437956204
standard_svr,0.1,10,1,1806.037161143244,406.24198272616974,336.5818549989502,246.93059954192998,536.1048822557257,369.3256383072072,272.75920770794687,204.38400204961965,95.9312848569601,-39.05109489051095
standard_svr,0.1,10,2,1836.4592607743366,414.2767225710429,340.0521856296519,250.36467108256187,547.8898633816727,363.4956143040763,268.842412248929,213.9164436242909,128.58761783060746,-40.14598540145985
standard_svr,0.1,10,3,1796.428935512902,406.81818058653334,335.48007250767535,246.6502009384056,537.3793359362566,388.83351840626904,262.883957827381,204.56975075021592,86.4705577851375,-37.591240875912405
standard_svr,0.1,10,4,1783.9128536141611,402.95882218799505,334.0406494343774,243.0252481141856,533.3289015019794,382.48309474331614,236.81099132178196,213.5585632739383,87.16399648986753,-37.95620437956204
standard_svr,0.2,20,0,9071.47174568098,1187.9559217704862,857.6780119476995,623.2136061551205,1648.306419813881,1106.955673240385,716.3825611309808,459.8108266718099,504.98706531735627,-50.0
standard_svr,0.2,20,1,9015.217034021402,1182.906423234696,854.736457564149,613.9600566610209,1646.683859368163,1038.4312937931832,714.5058025310026,460.5550105686083,507.4335683739804,-50.72992700729927
standard_svr,0.2,20,2,9068.035728757113,1189.7640974459246,857.4986020228496,626.4406820804403,1648.9579769419834,1094.4071908800288,727.3227899977165,462.63216141364,498.4670032750889,-50.72992700729927
standard_svr,0.2,20,3,8983.913807624258,1184.633552524019,853.0956828998995,630.9101869848099,1636.0019378140137,1074.3139113110744,726.7789851647383,475.5493864751415,493.71022118302363,-49.63503649635037
standard_svr,0.2,20,4,9109.786444515226,1193.0607392472095,859.6763227523759,625.4376351715474,1655.7595160821638,1108.3084097619528,731.7634113325748,455.2222007770909,507.3625653288552,-49.27007299270073
