condition,noise_level,noise_percent,replicate,method,file,mse,mae,rmse,bias,damaged_mae,zero_mae,low_mae,medium_mae,high_mae,high_bias,high_abs_bias,high_underestimation,n_zero,n_low,n_medium,n_high
6,0.1,10,0,calibrated_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_010_rep_0.npz,0.025323852134066627,0.11966422790716924,0.15913469808331127,0.1007669399650872,0.1218351761549582,0.1186964557967091,0.1202739714949843,0.12132514417567265,0.12277640538260153,0.056857700371946616,0.056857700371946616,0.2773722627737226,1245,109,172,274
7,0.1,10,1,standard_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_010_rep_1.npz,0.022704401996752326,0.11161187912111908,0.1506797995643488,0.09204763604767988,0.11140375221710856,0.1117046585843527,0.10199790832171621,0.11649058180644288,0.11195230073985406,0.04180645544232421,0.04180645544232421,0.291970802919708,1245,109,172,274
7,0.1,10,1,calibrated_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_010_rep_1.npz,0.02560916855827095,0.11966154889211802,0.1600286491796733,0.10123268677083305,0.12095881010044189,0.11908325172696162,0.1115554706778414,0.12810893488130506,0.1202111551177959,0.05642223228502725,0.05642223228502725,0.24452554744525548,1245,109,172,274
8,0.1,10,2,standard_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_010_rep_2.npz,0.023066785057109494,0.11338330947050736,0.15187753308870108,0.09392847743616597,0.11250647551540945,0.11377418725771968,0.10073087706399593,0.11526654824160253,0.1154583285165002,0.04877443674438728,0.04877443674438728,0.28102189781021897,1245,109,172,274
8,0.1,10,2,calibrated_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_010_rep_2.npz,0.026022954415106977,0.12152058960095735,0.16131631788231152,0.10336304689743128,0.12160221958246979,0.12148420033209037,0.11039673185342168,0.12707361399483338,0.12262527915743225,0.06335742706732786,0.06335742706732786,0.2591240875912409,1245,109,172,274
9,0.1,10,3,standard_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_010_rep_3.npz,0.02258995038917929,0.11173891427058344,0.1502995355587611,0.09155075281879985,0.11131371272047638,0.11192846194954685,0.10623752960699681,0.11340447801535308,0.11202061902941975,0.03978779127101083,0.03978779127101083,0.30656934306569344,1245,109,172,274
9,0.1,10,3,calibrated_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_010_rep_3.npz,0.025524428618848592,0.11986076202242149,0.15976366488926258,0.10088447970668324,0.12055488201289344,0.11955133503871712,0.11606278626338422,0.1247925202135104,0.11968176035665397,0.05438235259673004,0.05438235259673004,0.2591240875912409,1245,109,172,274
10,0.1,10,4,standard_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_010_rep_4.npz,0.022440860874742525,0.11088803611791997,0.14980273987728837,0.09017373239050427,0.11014969505595987,0.11121717610939615,0.10485740059270686,0.10525644310473918,0.11532670028261875,0.03993575240101844,0.03993575240101844,0.3029197080291971,1245,109,172,274
10,0.1,10,4,calibrated_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_010_rep_4.npz,0.02530533339353606,0.11891420198633872,0.15907650170133886,0.0993430413000694,0.11942314717710914,0.11868732280491094,0.11449378794492694,0.11654258018040091,0.12319233578930501,0.05423890211574933,0.05423890211574933,0.2664233576642336,1245,109,172,274
11,0.2,20,0,standard_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_020_rep_0.npz,0.10924906694416096,0.28395744635769005,0.3305284661631445,0.26388801747022617,0.23223292925595354,0.30701536361990983,0.2623060494874685,0.2551268420907592,0.20589817336974292,0.12908793410831387,0.12908793410831387,0.18248175182481752,1245,109,172,274
11,0.2,20,0,calibrated_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_020_rep_0.npz,0.11476917366848258,0.29215631176969614,0.3387759933473483,0.27239037524491705,0.23705131256472511,0.316721190933358,0.2711753437838022,0.2618813397505139,0.2078896918390496,0.1330192068222827,0.1330192068222827,0.17518248175182483,1245,109,172,274
12,0.2,20,1,standard_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_020_rep_1.npz,0.10857897004690825,0.2828441763417109,0.3295132319754523,0.26264495359594436,0.22926149884211708,0.306730430166831,0.24741373847316342,0.25454033826549893,0.2061718838764027,0.12960995192237015,0.12960995192237015,0.17518248175182483,1245,109,172,274
12,0.2,20,1,calibrated_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_020_rep_1.npz,0.11402992804233981,0.29098204545686396,0.33768317702002837,0.2710724628397979,0.23395508076493596,0.3164037044159162,0.25632745562029224,0.2608010169416471,0.20820292791227848,0.13342459095391407,0.13342459095391407,0.1678832116788321,1245,109,172,274
13,0.2,20,2,standard_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_020_rep_2.npz,0.1092081376742089,0.28435609738190976,0.3304665454689913,0.26396399831997613,0.23326918367468977,0.30712978180561024,0.25957890473146333,0.25854576132716933,0.20693585903448977,0.12769672859741124,0.12769672859741124,0.17518248175182483,1245,109,172,274
13,0.2,20,2,calibrated_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_020_rep_2.npz,0.11474705465112622,0.29262498943514986,0.33874334628317976,0.2724199404358925,0.23833402913305904,0.31682698378668434,0.26853721046449625,0.2645608647602688,0.20985533390310743,0.13174402008824818,0.13174402008824818,0.1678832116788321,1245,109,172,274
14,0.2,20,3,standard_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_020_rep_3.npz,0.10820609114905412,0.28322495895564664,0.3289469427568132,0.26177814153542717,0.23470439756921788,0.30485460680260884,0.25521205936851027,0.25837581745972654,0.2116868086739976,0.12668175950390503,0.12668175950390503,0.18613138686131386,1245,109,172,274
14,0.2,20,3,calibrated_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_020_rep_3.npz,0.11364989675295174,0.2913421092154855,0.33712000348978366,0.27015920398095367,0.2389204315269639,0.3147108089079589,0.26385492071111993,0.26402767358930385,0.21324048643281987,0.12969890511267287,0.12969890511267287,0.17883211678832117,1245,109,172,274
15,0.2,20,4,standard_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_020_rep_4.npz,0.10970546535152226,0.28508291261807256,0.33121815371673435,0.26523392018495073,0.2329470927739506,0.30832418170521125,0.2626000378922102,0.2599334951568995,0.20421047880403273,0.12959480178621674,0.12959480178621674,0.1897810218978102,1245,109,172,274
15,0.2,20,4,calibrated_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_020_rep_4.npz,0.11513994445838598,0.2931463763694267,0.3393227732681465,0.2736577467393418,0.23735208426649054,0.31801853068037406,0.2711583537577192,0.26558368333498017,0.20618157910472368,0.133802659883372,0.133802659883372,0.17518248175182483,1245,109,172,274
