method,noise_level,noise_percent,n_replicates,mse_mean,mse_std,mae_mean,mae_std,rmse_mean,rmse_std,damaged_mae_mean,damaged_mae_std,zero_mae_mean,zero_mae_std,low_mae_mean,low_mae_std,medium_mae_mean,medium_mae_std,high_mae_mean,high_mae_std,high_abs_bias_mean,high_abs_bias_std,high_underestimation_mean,high_underestimation_std
calibrated_svr,0.0,0,1,0.0011597838504293235,0.0,0.02167655431459531,0.0,0.03405559939906099,0.0,0.030692256927968193,0.0,0.017657506161645957,0.0,0.02318312546341367,0.0,0.029349005794633468,0.0,0.03452267490085145,0.0,0.0028639517247114137,0.0,0.46715328467153283,0.0
calibrated_svr,0.05,5,5,0.005346415166501873,0.00014861004472607032,0.04672939141702687,0.0005223397809244047,0.07311350952029132,0.001018511246957046,0.05710535981895295,0.000951489417701448,0.042103959719782716,0.0004854731934678698,0.047724865208482445,0.001639685289032786,0.05605053785633692,0.001469207697062002,0.06149916744709616,0.0014532417112917086,0.012823792468871059,0.001273018232326649,0.38540145985401464,0.014959052213079712
calibrated_svr,0.1,10,5,0.025557147423965837,0.000290942378242281,0.11992426608180096,0.0009629578384244264,0.15986396634717953,0.0009080801958683333,0.12087484700557449,0.0009576224113113139,0.11950051313987783,0.0011639900730510615,0.11455654964691171,0.003913826753271302,0.12356855868914447,0.004711575987925571,0.12169738716075773,0.0016226346154870337,0.05705172288735623,0.0037159556914029205,0.2613138686131387,0.011993924616901443
calibrated_svr,0.2,20,5,0.11446719951465727,0.0006085398900428105,0.2920503664493244,0.000892411309868817,0.3383290586816973,0.0008996987092074462,0.2371225876512349,0.0019229327714784098,0.3165362437448583,0.001190135371621445,0.2662106568674859,0.00628028327516698,0.26337091567534276,0.001972743421930761,0.2090740038383958,0.002669154496300083,0.13233787657209797,0.0016664021943636762,0.172992700729927,0.004896499220802468
standard_svr,0.0,0,1,0.0011911835959763865,0.0,0.022047140089029485,0.0,0.03451352772430524,0.0,0.03211125002066712,0.0,0.017560729637576558,0.0,0.02173286519986604,0.0,0.031250893176517344,0.0,0.03677995557782435,0.0,0.02133730479685522,0.0,0.6824817518248175,0.0
standard_svr,0.05,5,5,0.004785072479972315,0.0001253706061775352,0.04435935226467652,0.000529127987893047,0.06916945289308392,0.000907790204120892,0.05290732560558231,0.00100685849310046,0.04054880993198358,0.0004603501363111908,0.04371397928763301,0.0018374417070939778,0.05027262498165678,0.0012597634080576932,0.05821843237920153,0.0016232555815361848,0.004789494185237728,0.0012721582744312575,0.5,0.023082318687360447
standard_svr,0.1,10,5,0.022630505379947007,0.0002791941169359491,0.11180562156655098,0.0009397832819425934,0.15043210795968162,0.0009261983816255617,0.1115664398304392,0.0009717324727056963,0.11191224475011892,0.001111858257791741,0.10481076203298131,0.003740475019175481,0.11193479946998908,0.004631208165313597,0.11402268443598788,0.0018596110333921256,0.042574920761648025,0.0036659876019223677,0.297080291970803,0.010514496562691938
standard_svr,0.2,20,5,0.10898954623317089,0.0005937272259007605,0.28389311833100594,0.0008917418894943798,0.3301346680162271,0.0008994491275214302,0.23248302042318575,0.0020130001936718967,0.3068108728200342,0.0012517059320841272,0.25742215799056317,0.006331812341053632,0.2573044508600107,0.0023442936232971885,0.2069806407517331,0.0028129007469027724,0.1285342351836434,0.0012963057071594343,0.18175182481751823,0.0065286656277366035
