damage_bin,n_entries,mae,rmse,bias,mean_true,mean_prediction,underestimation_ratio
zero,1245,0.02391565250890192,0.038195308095243706,0.02391565250890192,0.0,0.02391565250890192,
low,109,0.0315099466694184,0.043784503832069666,-0.013391787469946256,0.07410375794559845,0.060711970475652195,0.6972477064220184
medium,172,0.04851645398584199,0.06158581206529945,-0.04065173942113916,0.15220101448147777,0.11154927506033861,0.7732558139534884
high,274,0.06831712507334992,0.09191577125591142,-0.05793596565466972,0.27861251285544286,0.22067654720077312,0.8029197080291971
