candidate,C,gamma,gamma_display,epsilon,val_mse,val_mae,fit_seconds,support_vectors_story_1,support_vectors_story_2,support_vectors_story_3,support_vectors_story_4,mean_support_vector_count,mean_support_vector_ratio,selected
rbf_svr_C_1000_gamma_0p03_eps_0.03,1000.0,0.03,0.03,0.03,0.0039219230699945,0.0403097886330828,2.5969852909911424,1105,1199,1121,1268,1173.25,0.5586904761904762,False
rbf_svr_C_300_gamma_0p03_eps_0.03,300.0,0.03,0.03,0.03,0.0039219230699945,0.0403097886330828,2.614337124978192,1105,1199,1121,1268,1173.25,0.5586904761904762,False
rbf_svr_C_1000_gamma_0p01_eps_0.02,1000.0,0.01,0.01,0.02,0.00394479297371029,0.03469049770903567,40.66779499995755,1281,1389,1344,1458,1368.0,0.6514285714285715,False
rbf_svr_C_300_gamma_0p03_eps_0.02,300.0,0.03,0.03,0.02,0.00394618577559244,0.0391262074583647,5.487737042014487,1388,1476,1402,1528,1448.5,0.6897619047619048,False
rbf_svr_C_1000_gamma_0p03_eps_0.02,1000.0,0.03,0.03,0.02,0.003952228441205892,0.039157217450183045,5.457001250004396,1388,1476,1402,1528,1448.5,0.6897619047619048,False
rbf_svr_C_100_gamma_0p03_eps_0.01,100.0,0.03,0.03,0.01,0.00410761515392424,0.03895673410683789,10.109961582988035,1704,1785,1747,1822,1764.5,0.8402380952380952,False
rbf_svr_C_300_gamma_0p03_eps_0.01,300.0,0.03,0.03,0.01,0.0041604459525212915,0.03928517246918748,11.553637957957108,1712,1779,1748,1826,1766.25,0.8410714285714286,False
rbf_svr_C_1000_gamma_0p03_eps_0.01,1000.0,0.03,0.03,0.01,0.004169150388648381,0.039343998293912226,11.617938125040382,1713,1779,1748,1826,1766.5,0.8411904761904762,False
rbf_svr_C_30_gamma_0p03_eps_0.05,30.0,0.03,0.03,0.05,0.004203070305424219,0.045260594166981555,0.7287584170117043,842,852,800,853,836.75,0.39845238095238095,False
rbf_svr_C_100_gamma_0p03_eps_0.05,100.0,0.03,0.03,0.05,0.004205462523850596,0.04527255923143596,0.8314514579833485,831,842,800,866,834.75,0.39749999999999996,False
rbf_svr_C_1000_gamma_0p03_eps_0.05,1000.0,0.03,0.03,0.05,0.004220235561836778,0.04532358906967628,0.875350083981175,826,842,800,866,833.5,0.39690476190476187,False
rbf_svr_C_300_gamma_0p03_eps_0.05,300.0,0.03,0.03,0.05,0.004220235561836778,0.04532358906967628,0.8705589169985615,826,842,800,866,833.5,0.39690476190476187,False
rbf_svr_C_1000_gamma_scale_eps_0.01,1000.0,scale,scale,0.01,0.004363160359910043,0.03672120922251259,75.45306083298055,1674,1768,1717,1812,1742.75,0.8298809523809524,False
rbf_svr_C_1000_gamma_0p01_eps_0.01,1000.0,0.01,0.01,0.01,0.004383388085175441,0.035874486340146686,90.02396220801165,1638,1724,1722,1781,1716.25,0.8172619047619047,False
