metric,difference_definition,n_seeds,ridge_mean,svr_mean,mean_difference,std_difference,ci95_difference_low,ci95_difference_high,svr_wins,ridge_wins,ties,mean_relative_improvement_percent,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
test_mae,SVR_minus_Ridge,10,0.04485829455702707,0.03145000061044827,-0.013408293946578803,0.0010211724962130822,-0.014138796743932133,-0.012677791149225473,10,0,0,29.89893365212753,-41.52163181585488,1.3587834364874327e-11,0.0,0.001953125
test_rmse,SVR_minus_Ridge,10,0.06334034200229566,0.05011137003138629,-0.01322897197090937,0.002510154546653118,-0.01502462836091134,-0.011433315580907398,10,0,0,20.841319719711947,-16.665779637504297,4.505786422208942e-08,0.0,0.001953125
damaged_entry_mae,SVR_minus_Ridge,10,0.07088887147866003,0.049375187310504394,-0.021513684168155644,0.002889160137813103,-0.023580464825195404,-0.019446903511115884,10,0,0,30.353725460271285,-23.547411561746276,2.1417702942643013e-09,0.0,0.001953125
zero_damage_mae,SVR_minus_Ridge,10,0.033512743206022245,0.02363563436509661,-0.009877108840925639,0.0014162010134246145,-0.01089019801612159,-0.008864019665729687,10,0,0,29.476747816417646,-22.054892164764972,3.82604265890089e-09,0.0,0.001953125
high_damage_mae,SVR_minus_Ridge,10,0.0947165385115041,0.06033738471601644,-0.03437915379548766,0.006081338165526135,-0.03872948104973975,-0.030028826541235565,10,0,0,36.299628556420586,-17.87705716469688,2.43700105636929e-08,0.0,0.001953125
high_damage_abs_bias,SVR_minus_Ridge,10,0.08280379022791311,0.047432396528132435,-0.03537139369978067,0.007432007364151586,-0.04068793149295134,-0.03005485590661,10,0,0,42.71529147091898,-15.050330634138962,1.0957512946017502e-07,0.0,0.001953125
high_damage_underestimation_ratio,SVR_minus_Ridge,10,0.8742895725141325,0.7610611424846312,-0.1132284300295013,0.03551547340987199,-0.13863466920207074,-0.08782219085693185,10,0,0,12.912238099699223,-10.081795352858876,3.343516084637334e-06,0.0,0.001953125
