model,metric,n_seeds,mean,std,median,min,max,ci95_low,ci95_high
ridge,test_mae,10,0.04485829455702707,0.0009453622237130744,0.044788481945639176,0.04343217870001477,0.04650957603895087,0.04418202316165014,0.045534565952404
ridge,test_rmse,10,0.06334034200229566,0.0014703834392023986,0.06331786636286685,0.06036852239417817,0.06590722046444121,0.06228849305463732,0.06439219094995399
ridge,damaged_entry_mae,10,0.07088887147866003,0.0018945477803587905,0.07094471231777838,0.0668103925720751,0.07357553056158397,0.06953359364028898,0.07224414931703109
ridge,zero_damage_mae,10,0.033512743206022245,0.0006987279707104381,0.03333636883285547,0.03258031287508588,0.03470490814031384,0.03301290332677966,0.03401258308526483
ridge,high_damage_mae,10,0.0947165385115041,0.0039857797096294065,0.09358015662408939,0.0875884126199696,0.1005533222096303,0.09186528347054296,0.09756779355246525
ridge,high_damage_abs_bias,10,0.08280379022791311,0.004342885426720272,0.08205588368721642,0.07648950838142837,0.09005380898960469,0.0796970771460694,0.08591050330975682
ridge,high_damage_underestimation_ratio,10,0.8742895725141325,0.016775748762299262,0.8736313868613139,0.8407407407407408,0.897887323943662,0.862288924784193,0.8862902202440721
rbf_svr,test_mae,10,0.03145000061044827,0.0013402365278267537,0.031298872054664265,0.029126351700405426,0.03339828685297892,0.030491253154633254,0.03240874806626328
rbf_svr,test_rmse,10,0.05011137003138629,0.0019431224903737796,0.04955517613677268,0.04666711325369862,0.05300154361685933,0.048721343938750494,0.05150139612402209
rbf_svr,damaged_entry_mae,10,0.049375187310504394,0.00320447631724675,0.04987707689892401,0.04338236243161129,0.053472353353273466,0.04708284304694249,0.0516675315740663
rbf_svr,zero_damage_mae,10,0.02363563436509661,0.0015179369929253042,0.023985260850138163,0.021317374660371074,0.026395163679781997,0.022549767654379146,0.02472150107581407
rbf_svr,high_damage_mae,10,0.06033738471601644,0.006451880864906541,0.06191047225152502,0.04862097941196394,0.06947553799763925,0.05572198718280556,0.06495278224922732
rbf_svr,high_damage_abs_bias,10,0.047432396528132435,0.007611974333437097,0.048893497666531435,0.03454297834469746,0.06075413537843153,0.04198711812063676,0.05287767493562811
rbf_svr,high_damage_underestimation_ratio,10,0.7610611424846312,0.02858992039684147,0.7563868613138687,0.7295373665480427,0.8214285714285714,0.740609145487599,0.7815131394816633
