seed,model,candidate,alpha,C,gamma,epsilon,val_mse,val_mae,fit_seconds,mean_support_vector_ratio,selected
3,rbf_svr,rbf_svr_C_500_gamma_0p0005_eps_0.03,,500.0,0.0005,0.03,0.0031602677226633237,0.036644062154215305,0.9066638749791309,0.5067857142857143,False
3,rbf_svr,rbf_svr_C_500_gamma_0p0005_eps_0.04,,500.0,0.0005,0.04,0.0031744455648769748,0.03823206575289448,0.7289812079980038,0.40785714285714286,False
3,rbf_svr,rbf_svr_C_500_gamma_0p00075_eps_0.02,,500.0,0.00075,0.02,0.0029579401477899205,0.034182711240350994,1.5012045000330545,0.625,False
3,rbf_svr,rbf_svr_C_500_gamma_0p00075_eps_0.03,,500.0,0.00075,0.03,0.002907398947832097,0.034925192434821284,1.2370946249575354,0.49773809523809526,False
3,rbf_svr,rbf_svr_C_500_gamma_0p00075_eps_0.04,,500.0,0.00075,0.04,0.002913006690475906,0.036371560384687314,0.9568229590076953,0.3896428571428571,False
3,rbf_svr,rbf_svr_C_500_gamma_0p001_eps_0.02,,500.0,0.001,0.02,0.0028443652268131323,0.033340421433791734,1.8288932090508752,0.6175,False
3,rbf_svr,rbf_svr_C_500_gamma_0p001_eps_0.03,,500.0,0.001,0.03,0.0027857213798364758,0.03413321927174346,1.5130182089633308,0.49214285714285716,False
3,rbf_svr,rbf_svr_C_500_gamma_0p001_eps_0.04,,500.0,0.001,0.04,0.0028211801981438056,0.0354550118542345,1.131126457999926,0.37976190476190474,False
3,rbf_svr,rbf_svr_C_500_gamma_0p003_eps_0.02,,500.0,0.003,0.02,0.0028243707481999413,0.03184138062006727,4.990576041978784,0.6075,False
3,rbf_svr,rbf_svr_C_500_gamma_0p003_eps_0.03,,500.0,0.003,0.03,0.0027547180857445497,0.032573514964194375,3.7465124999871477,0.4739285714285714,False
3,rbf_svr,rbf_svr_C_500_gamma_0p003_eps_0.04,,500.0,0.003,0.04,0.0027106430621352514,0.033396795727491914,2.653588291956112,0.37226190476190474,False
3,rbf_svr,rbf_svr_C_500_gamma_0p01_eps_0.02,,500.0,0.01,0.02,0.003639948110845693,0.03545535816878498,10.679831499990541,0.6446428571428572,False
3,rbf_svr,rbf_svr_C_500_gamma_0p01_eps_0.03,,500.0,0.01,0.03,0.0034455282622905367,0.035619890559862644,5.9474665420129895,0.5085714285714286,False
3,rbf_svr,rbf_svr_C_500_gamma_0p01_eps_0.04,,500.0,0.01,0.04,0.0032621856571030507,0.03564744301000391,3.1180357499979436,0.4008333333333333,False
3,rbf_svr,rbf_svr_C_750_gamma_0p0005_eps_0.02,,750.0,0.0005,0.02,0.0030429784957646823,0.03465682447599125,1.5360100410180166,0.633095238095238,False
3,rbf_svr,rbf_svr_C_750_gamma_0p0005_eps_0.03,,750.0,0.0005,0.03,0.0030198083002240124,0.03569470914128898,1.2048922919784673,0.5002380952380953,False
3,rbf_svr,rbf_svr_C_750_gamma_0p0005_eps_0.04,,750.0,0.0005,0.04,0.0030077581067912565,0.037063499289835475,0.9962839999934658,0.3986904761904762,False
3,rbf_svr,rbf_svr_C_750_gamma_0p00075_eps_0.02,,750.0,0.00075,0.02,0.002842551216845162,0.03339817611375924,2.1025673749973066,0.6214285714285714,False
3,rbf_svr,rbf_svr_C_750_gamma_0p00075_eps_0.03,,750.0,0.00075,0.03,0.0027943478645556436,0.034249332127095584,1.6524838749901392,0.4919047619047619,False
3,rbf_svr,rbf_svr_C_750_gamma_0p00075_eps_0.04,,750.0,0.00075,0.04,0.0028369834414976166,0.03558878529367856,1.203190334024839,0.38261904761904764,False
