storey,oof_mae_mean,oof_high_mean_residual_mean,oof_high_underestimation_mean
1,0.03339301263395576,0.062300696171384916,0.7929095717861021
2,0.031485955730030664,0.04488988240765179,0.7748202626554848
3,0.03008912143996987,0.044679892092071426,0.7782923610639709
4,0.03816810690292793,0.05807827250326769,0.7887192166736445
