seed,descriptor_set,model,damage_bin,n_entries,mae,rmse,bias,mean_true,mean_prediction,underestimation_ratio
0,oracle_full,rbf_svr,zero,1245,0.01564229398219044,0.028448356202727218,0.01564229398219044,0.0,0.01564229398219044,
0,oracle_full,rbf_svr,low,105,0.022338088476984215,0.02949474093843512,-0.012163877306156005,0.07383805994327337,0.06167418263711737,0.7142857142857143
0,oracle_full,rbf_svr,medium,172,0.03560560138782618,0.0470160459364282,-0.02954648245473943,0.15268694831409155,0.12314046585935215,0.8430232558139535
0,oracle_full,rbf_svr,high,278,0.04883169057102714,0.07102289579686623,-0.02991855426105206,0.27495214582567684,0.24503359156462476,0.6654676258992805
1,oracle_full,rbf_svr,zero,1253,0.016707656516655386,0.030294709071800287,0.016707656516655386,0.0,0.016707656516655386,
1,oracle_full,rbf_svr,low,108,0.02506231812238863,0.03308529691993896,-0.012441664424756013,0.07452210328013945,0.062080438855383425,0.6944444444444444
1,oracle_full,rbf_svr,medium,171,0.03406245177100809,0.046529927883651505,-0.026142914897435525,0.15065775085011734,0.12451483595268178,0.8654970760233918
1,oracle_full,rbf_svr,high,268,0.04204842882029271,0.06037548329851134,-0.026781335593081664,0.27000017802625287,0.24321884243317124,0.6753731343283582
2,oracle_full,rbf_svr,zero,1269,0.017738298628723944,0.03388742551855727,0.017738298628723944,0.0,0.017738298628723944,
2,oracle_full,rbf_svr,low,98,0.02425268075276343,0.03232471064125149,-0.010731936809225183,0.07523209986848761,0.06450016305926243,0.673469387755102
2,oracle_full,rbf_svr,medium,159,0.03313218698509907,0.04370199895837051,-0.0269674248838882,0.1518014245121081,0.1248339996282199,0.8553459119496856
2,oracle_full,rbf_svr,high,274,0.04295969912117462,0.06409636302896846,-0.028632684118943767,0.27544412272207625,0.24681143860313243,0.6861313868613139
3,oracle_full,rbf_svr,zero,1269,0.0160901403232295,0.032637822976004316,0.0160901403232295,0.0,0.0160901403232295,
3,oracle_full,rbf_svr,low,95,0.025146975377029583,0.034783553749731154,-0.013762485990161003,0.07210370136989971,0.0583412153797387,0.7473684210526316
3,oracle_full,rbf_svr,medium,152,0.032785213260181995,0.04381379164105002,-0.024881552611555453,0.14901457773390114,0.12413302512234568,0.7763157894736842
3,oracle_full,rbf_svr,high,284,0.04733614024887569,0.06981050288942837,-0.030731230799215307,0.2706592621637157,0.23992803136450047,0.6901408450704225
4,oracle_full,rbf_svr,zero,1236,0.016074904792932953,0.028280237999376796,0.016074904792932953,0.0,0.016074904792932953,
4,oracle_full,rbf_svr,low,118,0.026303642345389126,0.035612143592135055,-0.011736434526528509,0.07708314611054179,0.06534671158401328,0.6779661016949152
4,oracle_full,rbf_svr,medium,166,0.03972723508872125,0.053349905337506505,-0.03271159182616127,0.15259818973541964,0.11988659790925836,0.8614457831325302
4,oracle_full,rbf_svr,high,280,0.0505505172671283,0.07306653339213584,-0.03578661491314927,0.27744814609610996,0.24166153118296063,0.6892857142857143
