seed,78d_test_mae,92d_test_mae,difference_92d_minus_78d_test_mae,relative_improvement_percent_test_mae,78d_test_rmse,92d_test_rmse,difference_92d_minus_78d_test_rmse,relative_improvement_percent_test_rmse,78d_damaged_entry_mae,92d_damaged_entry_mae,difference_92d_minus_78d_damaged_entry_mae,relative_improvement_percent_damaged_entry_mae,78d_zero_damage_mae,92d_zero_damage_mae,difference_92d_minus_78d_zero_damage_mae,relative_improvement_percent_zero_damage_mae,78d_high_damage_mae,92d_high_damage_mae,difference_92d_minus_78d_high_damage_mae,relative_improvement_percent_high_damage_mae,78d_high_damage_abs_bias,92d_high_damage_abs_bias,difference_92d_minus_78d_high_damage_abs_bias,relative_improvement_percent_high_damage_abs_bias,78d_high_damage_underestimation_ratio,92d_high_damage_underestimation_ratio,difference_92d_minus_78d_high_damage_underestimation_ratio,relative_improvement_percent_high_damage_underestimation_ratio
0,0.0315460560625787,0.023066404841867824,-0.008479651220710878,26.880226180697775,0.0496016012490143,0.040010018166676216,-0.009591583082338082,19.33724484857974,0.0521206054712881,0.039720491364927904,-0.012400114106360195,23.79119351019646,0.0223742689767685,0.01564229398219044,-0.006731974994578057,30.08802210060117,0.066538033196789,0.04883169057102714,-0.01770634262576186,26.61085964683479,0.0530844858359839,0.02991855426105206,-0.023165931574931842,43.639739954358866,0.7841726618705036,0.6654676258992805,-0.11870503597122306,15.137614678899086
1,0.0306663031005401,0.02263060119403778,-0.00803570190650232,26.203686437706914,0.0486663244027147,0.03811765420278243,-0.010548670199932268,21.67550216581354,0.0464707393582054,0.036198150884641324,-0.010272588473564076,22.105498245640096,0.0237668405044165,0.016707656516655386,-0.007059183987761113,29.701819164601755,0.0541436548462247,0.04204842882029271,-0.012095226025931993,22.339138464671567,0.0393857825073635,0.026781335593081664,-0.012604446914281836,32.002530131083034,0.7350746268656716,0.6753731343283582,-0.05970149253731338,8.121827411167507
2,0.0332054625329944,0.023292021646363393,-0.009913440886631004,29.85484956512976,0.0518819362164582,0.04075004703951259,-0.01113188917694561,21.45619456163301,0.0494809225042308,0.03656447834953562,-0.01291644415469518,26.103887116475597,0.0263951636797819,0.017738298628723944,-0.008656865051057956,32.79716373832877,0.0624776250946147,0.04295969912117462,-0.019517925973440077,31.239865382018877,0.049054706967888,0.028632684118943767,-0.020422022848944236,41.631117809577006,0.7627737226277372,0.6861313868613139,-0.07664233576642332,10.04784688995215
3,0.0303918522066228,0.022907870542902446,-0.007483981663720354,24.62496070604572,0.049508751024531,0.04178367641524507,-0.007725074609285926,15.60345282283175,0.050597743155434,0.03920109022042593,-0.011396652935008071,22.524034125391847,0.0219369049301698,0.0160901403232295,-0.0058467646069402975,26.65264140749067,0.0635824540694144,0.04733614024887569,-0.01624631382053871,25.55156773722864,0.0495120299264992,0.030731230799215307,-0.018780799127283896,37.93178981989643,0.7394366197183099,0.6901408450704225,-0.04929577464788737,6.666666666666672
4,0.0333982868529789,0.024289598877969276,-0.009108687975009626,27.272919761143953,0.0515730705770192,0.04153633567558056,-0.010036734901438644,19.461193194711548,0.0534723533532734,0.042292013574963774,-0.011180339778309623,20.908636102931496,0.02423827592566,0.016074904792932953,-0.008163371132727047,33.67966912236049,0.0694755379976392,0.0505505172671283,-0.018925020730510896,27.239833293775966,0.0607541353784315,0.03578661491314927,-0.02496752046528223,41.096001629785384,0.8214285714285714,0.6892857142857143,-0.13214285714285712,16.08695652173913
5,0.0291263517004054,0.02203711577711066,-0.0070892359232947386,24.339594591917486,0.0466671132536986,0.03772041861886393,-0.008946694634834669,19.17130503915538,0.0433823624316112,0.03462482000588163,-0.00875754242572957,20.186873039786917,0.0228701167751999,0.01651301536016801,-0.006357101415031891,27.796541126215242,0.0486209794119639,0.03808073257434284,-0.010540246837621059,21.678392671430796,0.0345429783446974,0.02185909186761334,-0.012683886477084058,36.71914549612404,0.7295373665480427,0.6298932384341637,-0.09964412811387902,13.658536585365855
6,0.0322280733161865,0.023041155503804922,-0.009186917812381575,28.50594797352487,0.0519961490063156,0.04216436623131638,-0.009831782774999222,18.908674897837194,0.0499358899827608,0.037349943222263385,-0.012585946760497416,25.20421036821897,0.0247190624512467,0.01697350501559785,-0.0077455574356488505,31.334349556846586,0.0613433194084353,0.04546037157880988,-0.01588294782962542,25.891894965568753,0.0487322883651747,0.026265024871338926,-0.022467263493835776,46.10344444627278,0.7383512544802867,0.6774193548387096,-0.06093189964157708,8.252427184466022
7,0.0306116840093559,0.02345389085636628,-0.00715779315298962,23.38255272333914,0.0487773896181717,0.040546229367228875,-0.008231160250942823,16.87495029023931,0.0525296075487531,0.035757312887825916,-0.01677229466092718,31.92922133553101,0.021317374660371,0.018236616956949853,-0.0030807577034211477,14.45186263554431,0.0645279556222223,0.040552508674372476,-0.023975446947849824,37.15513178228306,0.0521196815861022,0.022694433381574928,-0.029425248204527275,56.4570759242197,0.7777777777777778,0.6407407407407407,-0.13703703703703707,17.619047619047624
8,0.0322742482760699,0.023938000360789545,-0.008336247915280356,25.82941001126697,0.0494398213490799,0.04024674038456281,-0.00919308096451709,18.594486617594097,0.0498182638150872,0.03854587760261004,-0.011272386212477163,22.627015373954844,0.0245346545514915,0.017493692626407566,-0.007040961925083935,28.698027560595524,0.0587073034273382,0.0440624496309699,-0.014644853796368304,24.94553989265438,0.0467868330281333,0.02415138668003123,-0.02263544634810207,48.37994983437155,0.7720588235294118,0.6654411764705882,-0.1066176470588236,13.809523809523819
9,0.0310516880467497,0.022391819239713832,-0.008659868807035866,27.888560499506653,0.0530015436168593,0.03836028449781073,-0.014641259119048566,27.624212654801468,0.0459433854843995,0.03782559397337335,-0.008117791511026151,17.669119124411548,0.0242036811958597,0.01529453596803099,-0.008909145227828711,36.8090504734987,0.0539569840855224,0.04346385955992533,-0.010493124525597072,19.44720355193566,0.0403510433410502,0.023351952473319847,-0.01699909086773035,42.128008250128,0.75,0.6373239436619719,-0.11267605633802813,15.02347417840375
