seed,descriptor_set,candidate,C,gamma,epsilon,val_mse,val_mae,fit_seconds,mean_support_vector_ratio,selected
0,oracle_full,rbf_svr_C_100_gamma_0p0005_eps_0.02,100.0,0.0005,0.02,0.0032845569181360248,0.03397403459290233,1.140011124953162,0.5669047619047619,False
0,oracle_full,rbf_svr_C_100_gamma_0p0005_eps_0.03,100.0,0.0005,0.03,0.003253444329758396,0.03631400492217733,0.4058635410037823,0.4601190476190476,False
0,oracle_full,rbf_svr_C_100_gamma_0p0005_eps_0.04,100.0,0.0005,0.04,0.0033429629648075642,0.039446387226366265,0.32692687498638406,0.38166666666666665,False
0,oracle_full,rbf_svr_C_100_gamma_0p00075_eps_0.02,100.0,0.00075,0.02,0.0027676144844128512,0.03063805172023833,0.5260299589717761,0.5357142857142857,False
0,oracle_full,rbf_svr_C_100_gamma_0p00075_eps_0.03,100.0,0.00075,0.03,0.002788807847569044,0.032983453633651565,0.4377914579818025,0.42642857142857143,False
0,oracle_full,rbf_svr_C_100_gamma_0p00075_eps_0.04,100.0,0.00075,0.04,0.0029080247520161043,0.03621087569881717,0.36647087498568,0.35119047619047616,False
0,oracle_full,rbf_svr_C_100_gamma_0p001_eps_0.02,100.0,0.001,0.02,0.0024796806788073837,0.02887272690061398,0.6577951250365004,0.5133333333333333,False
0,oracle_full,rbf_svr_C_100_gamma_0p001_eps_0.03,100.0,0.001,0.03,0.0025414774164559993,0.031215432482217923,0.4972551250248216,0.40190476190476193,False
0,oracle_full,rbf_svr_C_100_gamma_0p001_eps_0.04,100.0,0.001,0.04,0.002649992655971471,0.03398382252782438,0.41676145902602,0.3294047619047619,False
0,oracle_full,rbf_svr_C_100_gamma_0p003_eps_0.02,100.0,0.003,0.02,0.0019325494218743514,0.0254247112501815,1.3216411659959704,0.4875,False
0,oracle_full,rbf_svr_C_100_gamma_0p003_eps_0.03,100.0,0.003,0.03,0.0020002761207539767,0.027304628429937642,0.8359261250006966,0.3719047619047619,False
0,oracle_full,rbf_svr_C_100_gamma_0p003_eps_0.04,100.0,0.003,0.04,0.002122792167367693,0.029811763138315604,0.5610670830355957,0.3001190476190476,False
0,oracle_full,rbf_svr_C_100_gamma_0p01_eps_0.02,100.0,0.01,0.02,0.0024411275248423644,0.028865189015919505,1.5461551250191405,0.5332142857142858,False
0,oracle_full,rbf_svr_C_100_gamma_0p01_eps_0.03,100.0,0.01,0.03,0.0026049215095645243,0.031240437532557203,0.9406694159843028,0.41773809523809524,False
0,oracle_full,rbf_svr_C_100_gamma_0p01_eps_0.04,100.0,0.01,0.04,0.002876174498567331,0.034695182381336474,0.6489965000073425,0.34726190476190477,False
0,oracle_full,rbf_svr_C_300_gamma_0p0005_eps_0.02,300.0,0.0005,0.02,0.0024866645497958616,0.028751261040541133,0.9474444579682313,0.5133333333333333,False
0,oracle_full,rbf_svr_C_300_gamma_0p0005_eps_0.03,300.0,0.0005,0.03,0.002537638620074709,0.030907401142541802,0.6620387919829227,0.4005952380952381,False
0,oracle_full,rbf_svr_C_300_gamma_0p0005_eps_0.04,300.0,0.0005,0.04,0.0026304226721412423,0.03346648584383796,0.5158477089717053,0.3236904761904762,False
0,oracle_full,rbf_svr_C_300_gamma_0p00075_eps_0.02,300.0,0.00075,0.02,0.0021858484908614064,0.026891714848260334,1.2929125420050696,0.4932142857142857,False
0,oracle_full,rbf_svr_C_300_gamma_0p00075_eps_0.03,300.0,0.00075,0.03,0.002227488143451486,0.028572116162377956,0.8021054159617051,0.376547619047619,False
0,oracle_full,rbf_svr_C_300_gamma_0p00075_eps_0.04,300.0,0.00075,0.04,0.0023474228206612825,0.031184761172428462,0.7288502079900354,0.30297619047619045,False
0,oracle_full,rbf_svr_C_300_gamma_0p001_eps_0.02,300.0,0.001,0.02,0.0020006551564223764,0.02574433206850107,1.69945779198315,0.4876190476190476,False
0,oracle_full,rbf_svr_C_300_gamma_0p001_eps_0.03,300.0,0.001,0.03,0.0020651436327931154,0.027510638101412122,0.9863944589742459,0.3686904761904762,False
0,oracle_full,rbf_svr_C_300_gamma_0p001_eps_0.04,300.0,0.001,0.04,0.0021747079581794933,0.029850147984119196,0.7628936669789255,0.2938095238095238,False
0,oracle_full,rbf_svr_C_300_gamma_0p003_eps_0.02,300.0,0.003,0.02,0.0017422497468448405,0.024133395848263624,3.2254032909986563,0.4869047619047619,False
0,oracle_full,rbf_svr_C_300_gamma_0p003_eps_0.03,300.0,0.003,0.03,0.0018085790053911307,0.025597033983556578,1.8589143749559298,0.36547619047619045,False
0,oracle_full,rbf_svr_C_300_gamma_0p003_eps_0.04,300.0,0.003,0.04,0.00196929240927247,0.027992947848159144,1.1422857920406386,0.29214285714285715,False
0,oracle_full,rbf_svr_C_300_gamma_0p01_eps_0.02,300.0,0.01,0.02,0.0025794436774916984,0.029459298391481165,2.939125042001251,0.541547619047619,False
0,oracle_full,rbf_svr_C_300_gamma_0p01_eps_0.03,300.0,0.01,0.03,0.002698908659195931,0.03159157150733827,1.5028541249921545,0.4213095238095238,False
0,oracle_full,rbf_svr_C_300_gamma_0p01_eps_0.04,300.0,0.01,0.04,0.0028954464623654167,0.03449324554812797,1.0350407080259174,0.3491666666666667,False
0,oracle_full,rbf_svr_C_500_gamma_0p0005_eps_0.02,500.0,0.0005,0.02,0.0022405536025063913,0.027076400624146173,1.3470724999788217,0.5009523809523809,False
0,oracle_full,rbf_svr_C_500_gamma_0p0005_eps_0.03,500.0,0.0005,0.03,0.0022868067877383196,0.028894774737908715,0.998819041007664,0.38285714285714284,False
0,oracle_full,rbf_svr_C_500_gamma_0p0005_eps_0.04,500.0,0.0005,0.04,0.0023995761413969133,0.03142807515570321,0.7060862079961225,0.30773809523809526,False
0,oracle_full,rbf_svr_C_500_gamma_0p00075_eps_0.02,500.0,0.00075,0.02,0.0020073582058354683,0.025690063049393218,1.8505242080427706,0.4855952380952381,False
0,oracle_full,rbf_svr_C_500_gamma_0p00075_eps_0.03,500.0,0.00075,0.03,0.0020686970578068795,0.027378283432794887,1.3673551250249147,0.3682142857142857,False
0,oracle_full,rbf_svr_C_500_gamma_0p00075_eps_0.04,500.0,0.00075,0.04,0.002169596432635124,0.029617369320313138,0.9671799170318991,0.29464285714285715,False
0,oracle_full,rbf_svr_C_500_gamma_0p001_eps_0.02,500.0,0.001,0.02,0.0018513420209210298,0.02467657898606303,2.4052045419812202,0.47964285714285715,False
0,oracle_full,rbf_svr_C_500_gamma_0p001_eps_0.03,500.0,0.001,0.03,0.0019150493134470958,0.026431940579456328,1.4924539999919944,0.3582142857142857,False
0,oracle_full,rbf_svr_C_500_gamma_0p001_eps_0.04,500.0,0.001,0.04,0.0020284004271513426,0.028682909612663784,1.1987419169745408,0.2867857142857143,False
0,oracle_full,rbf_svr_C_500_gamma_0p003_eps_0.02,500.0,0.003,0.02,0.0017298072588272846,0.023943235770502398,5.392163041047752,0.4925,False
0,oracle_full,rbf_svr_C_500_gamma_0p003_eps_0.03,500.0,0.003,0.03,0.001788825164660037,0.025303549084634,2.515823791967705,0.37214285714285716,False
0,oracle_full,rbf_svr_C_500_gamma_0p003_eps_0.04,500.0,0.003,0.04,0.0019329261157380706,0.02730706571763886,1.6106416669790633,0.2919047619047619,False
0,oracle_full,rbf_svr_C_500_gamma_0p01_eps_0.02,500.0,0.01,0.02,0.002583462405463737,0.0294855660515316,4.240255041979253,0.5402380952380952,False
0,oracle_full,rbf_svr_C_500_gamma_0p01_eps_0.03,500.0,0.01,0.03,0.002687015145334577,0.03154657145501177,1.8273643749998882,0.4232142857142857,False
