metric,difference_definition,n_seeds,78d_mean,92d_mean,mean_difference,std_difference,ci95_difference_low,ci95_difference_high,92d_wins,78d_wins,ties,mean_relative_improvement_percent,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
test_mae,92D_minus_78D,10,0.031450000610448225,0.023104847884092596,-0.008345152726355633,0.0009245312820520343,-0.009006522563757469,-0.007683782888953798,10,0,0,26.478270845027925,-28.543858438921273,3.8702346591223846e-10,0.0,0.001953125
test_rmse,92D_minus_78D,10,0.05011137003138625,0.04012357705995796,-0.00998779297142829,0.0019259372659547814,-0.011365525495095305,-0.008610060447761277,10,0,0,19.870721709319703,-16.399378705763095,5.1871458767167086e-08,0.0,0.001953125
damaged_entry_mae,92D_minus_78D,10,0.04937518731050435,0.037807977208644886,-0.011567210101859463,0.0024124523484626618,-0.013292974549657378,-0.009841445654061549,10,0,0,23.304968834253877,-15.16246740330188,1.027303575911703e-07,0.0,0.001953125
zero_damage_mae,92D_minus_78D,10,0.02363563436509655,0.01667646601708865,-0.0069591683480079,0.001682042475732863,-0.008162429049159398,-0.005755907646856403,10,0,0,29.20091468860832,-13.083392909366296,3.675485752124342e-07,0.0,0.001953125
high_damage_mae,92D_minus_78D,10,0.06033738471601641,0.04433463980469189,-0.016002744911324522,0.004278414400904996,-0.019063338199616257,-0.01294215162303279,10,0,0,26.209942738840248,-11.828008694938585,8.706614920949115e-07,0.0,0.001953125
high_damage_abs_bias,92D_minus_78D,10,0.047432396528132394,0.027017230895932037,-0.020415165632200357,0.005309674187580208,-0.024213477730740035,-0.01661685353366068,10,0,0,42.60888032958168,-12.15864098749265,6.884366300753467e-07,0.0,0.001953125
high_damage_underestimation_ratio,92D_minus_78D,10,0.7610611424846312,0.6657217160591263,-0.09533942642550491,0.031638516797063455,-0.11797225791095313,-0.0727065949400567,10,0,0,12.44239215452316,-9.529199496059308,5.337656524426695e-06,0.0,0.001953125
