method,noise_level,noise_percent,severity,n_replicates,signed_bias_mean,signed_bias_std,mae_mean,mae_std,rmse_mean,rmse_std,underestimation_ratio_mean,underestimation_ratio_std,overestimation_ratio_mean,overestimation_ratio_std,equal_ratio_mean,equal_ratio_std
calibrated_svr,0.0,0,all,1,0.010392205510742,0.0,0.0216765543145953,0.0,0.0340555993990609,0.0,0.1655555555555555,0.0,0.5794444444444444,0.0,0.255,0.0
calibrated_svr,0.05,5,all,5,0.0320774348103238,0.0002471283850798,0.0467293914170268,0.0005223397809244,0.0731135095202913,0.001018511246957,0.1311111111111111,0.0025153847605937,0.6602222222222223,0.0046248123085038,0.2086666666666667,0.00580814668386
calibrated_svr,0.1,10,all,5,0.1011180389280208,0.0014475532703026,0.1199242660818009,0.0009629578384244,0.1598639663471795,0.0009080801958683,0.0908888888888888,0.0031817380140614,0.748,0.0075930442503421,0.1611111111111111,0.0045643546458763
calibrated_svr,0.2,20,all,5,0.2719399458481806,0.0013516369441235,0.2920503664493244,0.0008924113098688,0.3383290586816973,0.0008996987092074,0.0635555555555555,0.0015515822270854,0.8005555555555557,0.0019641855032959,0.1358888888888889,0.0009296222517045
calibrated_svr,0.0,0,damaged,1,-0.0059056310845289,0.0,0.0306922569279681,0.0,0.0427630440002479,0.0,0.5369369369369369,0.0,0.463063063063063,0.0,0.0,0.0
calibrated_svr,0.05,5,damaged,5,0.0095855005539701,0.0004519209171171,0.0571053598189529,0.0009514894177014,0.0777963970618092,0.0013954441897252,0.4252252252252252,0.0081580046289526,0.5747747747747748,0.0081580046289526,0.0,0.0
calibrated_svr,0.1,10,damaged,5,0.0598816778581794,0.0025687077816171,0.1208748470055744,0.0009576224113113,0.144217190630177,0.0005760943937244,0.2947747747747747,0.0103191503158748,0.7052252252252252,0.0103191503158748,0.0,0.0
calibrated_svr,0.2,20,damaged,5,0.1718996019177955,0.0020070047912938,0.2371225876512349,0.0019229327714784,0.2575574520825405,0.0016961253576092,0.2061261261261261,0.0050321585743311,0.7938738738738739,0.0050321585743311,0.0,0.0
calibrated_svr,0.0,0,high,1,-0.0028639517247114,0.0,0.0345226749008514,0.0,0.0478731103257797,0.0,0.4671532846715328,0.0,0.5328467153284672,0.0,0.0,0.0
calibrated_svr,0.05,5,high,5,0.012823792468871,0.0012730182323266,0.0614991674470961,0.0014532417112917,0.0821640737932765,0.0023382333923375,0.3854014598540146,0.0149590522130797,0.6145985401459855,0.0149590522130796,0.0,0.0
