case_id,noise_level,noise_percent,replicate,descriptor_shift_l2,descriptor_shift_l1,standard_case_mae,standard_case_mae_change,calibrated_case_mae,calibrated_case_mae_change
1235,0.0,0,0,0.0,0.0,0.015434379105162694,0.0,0.015491906559314093,0.0
1648,0.0,0,0,0.0,0.0,0.009987049838370617,0.0,0.009987049838370617,0.0
1607,0.0,0,0,0.0,0.0,0.030490277391108163,0.0,0.03161444825362085,0.0
1449,0.0,0,0,0.0,0.0,0.08697363598259082,0.0,0.08210922256866368,0.0
11,0.0,0,0,0.0,0.0,0.019613017280496105,0.0,0.0190808480926227,0.0
1753,0.0,0,0,0.0,0.0,0.012389261223915848,0.0,0.007469670347255311,0.0
2042,0.0,0,0,0.0,0.0,0.01895108111480703,0.0,0.01895108111480703,0.0
2939,0.0,0,0,0.0,0.0,0.020429140441412155,0.0,0.016670626332590872,0.0
1439,0.0,0,0,0.0,0.0,0.020767334283743354,0.0,0.01265210396927681,0.0
2114,0.0,0,0,0.0,0.0,0.06768840540067277,0.0,0.06768840540067277,0.0
1368,0.0,0,0,0.0,0.0,0.00583979758715426,0.0,0.007906310417287721,0.0
1005,0.0,0,0,0.0,0.0,0.014611973460382835,0.0,0.014079804272509428,0.0
1713,0.0,0,0,0.0,0.0,0.011290305851083574,0.0,0.016154719265010713,0.0
385,0.0,0,0,0.0,0.0,0.014374883936651844,0.0,0.009510470522724704,0.0
827,0.0,0,0,0.0,0.0,0.031179165999872378,0.0,0.02678711149469792,0.0
2275,0.0,0,0,0.0,0.0,0.01712142269669687,0.0,0.015390633786571009,0.0
329,0.0,0,0,0.0,0.0,0.01500867285198998,0.0,0.017400571589155103,0.0
15,0.0,0,0,0.0,0.0,0.020861426786972264,0.0,0.012710858172976517,0.0
230,0.0,0,0,0.0,0.0,0.00767705752591131,0.0,0.006157668358237464,0.0
10,0.0,0,0,0.0,0.0,0.03106251871917081,0.0,0.03246529725267981,0.0
140,0.0,0,0,0.0,0.0,0.0017397474216562375,0.0,0.006131801926830702,0.0
428,0.0,0,0,0.0,0.0,0.006978063592259111,0.0,0.006978063592259111,0.0
287,0.0,0,0,0.0,0.0,0.021768610876538006,0.0,0.0212364416886646,0.0
1127,0.0,0,0,0.0,0.0,0.04832660059670439,0.0,0.04393454609152993,0.0
2197,0.0,0,0,0.0,0.0,0.032339706968408176,0.0,0.028613105274713217,0.0
2188,0.0,0,0,0.0,0.0,0.029850825774258665,0.0,0.03424288027943313,0.0
822,0.0,0,0,0.0,0.0,0.00893470118497379,0.0,0.004070287771046649,0.0
100,0.0,0,0,0.0,0.0,0.0070949640330134085,0.0,0.0070949640330134085,0.0
26,0.0,0,0,0.0,0.0,0.020194454653266206,0.0,0.020194454653266206,0.0
903,0.0,0,0,0.0,0.0,0.02397826874225925,0.0,0.02977310178094271,0.0
1803,0.0,0,0,0.0,0.0,0.028187796359222497,0.0,0.036338364973218254,0.0
2594,0.0,0,0,0.0,0.0,0.01727079624130505,0.0,0.007717449093800302,0.0
2397,0.0,0,0,0.0,0.0,0.018581279582578016,0.0,0.021164586231470363,0.0
16,0.0,0,0,0.0,0.0,0.005546134386273882,0.0,0.006161430256323614,0.0
2444,0.0,0,0,0.0,0.0,0.010421919906389724,0.0,0.007716744281232752,0.0
942,0.0,0,0,0.0,0.0,0.012336701082828135,0.0,0.012336701082828135,0.0
304,0.0,0,0,0.0,0.0,0.0024638479554117184,0.0,0.0024638479554117184,0.0
1577,0.0,0,0,0.0,0.0,0.036718213286123354,0.0,0.026531325742265438,0.0
2134,0.0,0,0,0.0,0.0,0.06425839852401388,0.0,0.06425839852401388,0.0
2199,0.0,0,0,0.0,0.0,0.015145257889586164,0.0,0.01943417471052127,0.0
256,0.0,0,0,0.0,0.0,0.01596249943067911,0.0,0.024113068044674862,0.0
2719,0.0,0,0,0.0,0.0,0.06738310620095728,0.0,0.06791527538883069,0.0
2463,0.0,0,0,0.0,0.0,0.05582324926509141,0.0,0.06161808230377487,0.0
2296,0.0,0,0,0.0,0.0,0.005903503585929351,0.0,0.010295558091103815,0.0
425,0.0,0,0,0.0,0.0,0.020389427390427206,0.0,0.020389427390427206,0.0
2985,0.0,0,0,0.0,0.0,0.020695536038016625,0.0,0.026490369076700084,0.0
2195,0.0,0,0,0.0,0.0,0.011291497506678011,0.0,0.00969051297937088,0.0
1847,0.0,0,0,0.0,0.0,0.010336531269489411,0.0,0.015599195120299463,0.0
1629,0.0,0,0,0.0,0.0,0.019447288821710533,0.0,0.01458287540778339,0.0
1375,0.0,0,0,0.0,0.0,0.0010013015075592373,0.0,0.00012286935495344972,0.0
