noise_level,noise_percent,feature_index,feature_name,n_replicates,signed_mean_delta_z_mean,signed_mean_delta_z_std,mean_abs_delta_z_mean,mean_abs_delta_z_std,median_abs_delta_z_mean,median_abs_delta_z_std,rms_delta_z_mean,rms_delta_z_std,p95_abs_delta_z_mean,p95_abs_delta_z_std,fraction_abs_delta_z_gt_1_mean,fraction_abs_delta_z_gt_1_std,fraction_abs_delta_z_gt_2_mean,fraction_abs_delta_z_gt_2_std,rank_by_mean_abs_shift
0.0,0,37,story_2_relative_to_lower_rms,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
0.0,0,38,story_3_relative_to_lower_max_abs,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
0.0,0,39,story_3_relative_to_lower_rms,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
0.0,0,40,story_4_relative_to_lower_max_abs,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
0.0,0,41,story_4_relative_to_lower_rms,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
0.0,0,42,story_2_to_story_1_max_abs_ratio,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
0.0,0,43,story_2_to_story_1_rms_ratio,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
0.0,0,44,story_3_to_story_2_max_abs_ratio,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
0.0,0,45,story_3_to_story_2_rms_ratio,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
0.0,0,46,story_4_to_story_3_max_abs_ratio,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
0.0,0,47,story_4_to_story_3_rms_ratio,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
0.0,0,48,story_1_max_abs_spatial_fraction,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
0.0,0,49,story_1_rms_spatial_fraction,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
0.0,0,50,story_2_max_abs_spatial_fraction,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
0.0,0,51,story_2_rms_spatial_fraction,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
0.0,0,52,story_3_max_abs_spatial_fraction,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
0.0,0,53,story_3_rms_spatial_fraction,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54
0.0,0,54,story_4_max_abs_spatial_fraction,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
0.0,0,55,story_4_rms_spatial_fraction,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
0.0,0,56,ground_dominant_frequency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
0.0,0,57,ground_spectral_centroid,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
0.0,0,58,ground_band_energy,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
0.0,0,59,story_1_dominant_frequency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
0.0,0,60,story_1_spectral_centroid,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61
0.0,0,61,story_1_band_energy,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62
0.0,0,62,story_2_dominant_frequency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63
0.0,0,63,story_2_spectral_centroid,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
0.0,0,64,story_2_band_energy,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65
0.0,0,65,story_3_dominant_frequency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66
0.0,0,66,story_3_spectral_centroid,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67
0.0,0,67,story_3_band_energy,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68
0.0,0,68,story_4_dominant_frequency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69
0.0,0,69,story_4_spectral_centroid,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70
0.0,0,70,story_4_band_energy,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71
0.0,0,71,story_1_ground_correlation,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72
0.0,0,72,story_2_ground_correlation,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
0.0,0,73,story_3_ground_correlation,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
0.0,0,74,story_4_ground_correlation,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
0.0,0,75,story_2_story_1_correlation,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
0.0,0,76,story_3_story_2_correlation,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
0.0,0,77,story_4_story_3_correlation,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78
0.05,5,60,story_1_spectral_centroid,5,0.2907734023844188,0.002947485247023474,0.2917884155725548,0.0028232070220706638,0.11087781304886643,0.004580643517045413,0.4867727086915023,0.004486722571554967,1.205141775847188,0.024844697630843196,0.0791111111111111,0.004608098078517272,0.003111111111111111,0.0012171612389003691,1
0.05,5,40,story_4_relative_to_lower_max_abs,5,0.2543174366378186,0.004692074912187375,0.25747713423577334,0.00518150278782277,0.06387014640270425,0.001110835804590164,0.5700823016373736,0.014933240452405828,1.3051615529120646,0.09018638402831314,0.07066666666666668,0.006554613868334502,0.028888888888888888,0.002721655269759086,2
