noise_level,noise_percent,replicate,feature_index,feature_name,signed_mean_delta_z,mean_abs_delta_z,median_abs_delta_z,rms_delta_z,p95_abs_delta_z,fraction_abs_delta_z_gt_1,fraction_abs_delta_z_gt_2
0.0,0,0,61,story_1_band_energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,62,story_2_dominant_frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,63,story_2_spectral_centroid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,64,story_2_band_energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,65,story_3_dominant_frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,66,story_3_spectral_centroid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,67,story_3_band_energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,68,story_4_dominant_frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,69,story_4_spectral_centroid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,70,story_4_band_energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,71,story_1_ground_correlation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,72,story_2_ground_correlation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,73,story_3_ground_correlation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,74,story_4_ground_correlation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,75,story_2_story_1_correlation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,76,story_3_story_2_correlation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,77,story_4_story_3_correlation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,5,0,0,story_1_mean,-0.001870670028144329,0.11915974570774061,0.045433738290979804,0.25778746187651613,0.49711051872854106,0.011111111111111112,0.0022222222222222222
0.05,5,0,1,story_1_std,0.009313358961020075,0.0094054735416673,0.0023122938931527284,0.019536425209668584,0.04440607464873624,0.0,0.0
0.05,5,0,2,story_1_max_abs,0.11573795751639623,0.12500538059556804,0.028856658126755058,0.2925201982290532,0.6867380284044575,0.022222222222222223,0.0022222222222222222
0.05,5,0,3,story_1_rms,0.00931879917352563,0.009410445222607425,0.0022885323007148183,0.01954402240667635,0.04450380899511367,0.0,0.0
0.05,5,0,4,story_1_peak_to_peak,0.1161644312054692,0.11833025514302963,0.028666041513973776,0.270464413843204,0.6380215146705742,0.022222222222222223,0.0
