method,noise_level,noise_percent,replicate,severity,n_entries,signed_bias,mae,rmse,underestimation_ratio,overestimation_ratio,equal_ratio
standard_svr,0.0,0,0,all,1800,0.006181815452720446,0.022047140089029485,0.03451352772430524,0.21833333333333332,0.5266666666666666,0.255
standard_svr,0.0,0,0,zero,1245,0.017560729637576558,0.017560729637576558,0.028889511037513062,0.0,0.6313253012048192,0.3686746987951807
standard_svr,0.0,0,0,low,109,-0.0077701916474926455,0.02173286519986604,0.031123676510665263,0.6330275229357798,0.3669724770642202,0.0
standard_svr,0.0,0,0,medium,172,-0.023502721976575453,0.031250893176517344,0.040313471345180166,0.7965116279069767,0.20348837209302326,0.0
standard_svr,0.0,0,0,high,274,-0.02133730479685522,0.03677995557782435,0.05125903665168488,0.6824817518248175,0.3175182481751825,0.0
standard_svr,0.0,0,0,damaged,555,-0.019343856907902714,0.03211125002066712,0.04462150497609732,0.7081081081081081,0.2918918918918919,0.0
standard_svr,0.05,5,0,all,1800,0.02682553317690144,0.044618229868498394,0.07008867101753995,0.16277777777777777,0.6327777777777778,0.20444444444444446
standard_svr,0.05,5,0,zero,1245,0.04066354717049769,0.04066354717049769,0.06761435032287118,0.0,0.704417670682731,0.2955823293172691
standard_svr,0.05,5,0,low,109,0.006025319972995191,0.04580831510438765,0.07239728574297345,0.5229357798165137,0.47706422018348627,0.0
standard_svr,0.05,5,0,medium,172,-0.01210377530118677,0.04977180338387018,0.06843384974138929,0.563953488372093,0.436046511627907,0.0
standard_svr,0.05,5,0,high,274,-0.003339660708391872,0.05887898177964813,0.08045886421843666,0.5072992700729927,0.4927007299270073,0.0
standard_svr,0.05,5,0,damaged,555,-0.00421649821413878,0.05348954510995948,0.07534416276554692,0.527927927927928,0.4720720720720721,0.0
standard_svr,0.05,5,1,all,1800,0.026573077705797088,0.04351044939061304,0.06828453578841148,0.15055555555555555,0.6322222222222222,0.21722222222222223
standard_svr,0.05,5,1,zero,1245,0.03988778551091055,0.03988778551091055,0.06590748296848148,0.0,0.6859437751004016,0.3140562248995984
standard_svr,0.05,5,1,low,109,0.008157928751660461,0.04483646030085297,0.07324694615307874,0.45871559633027525,0.5412844036697247,0.0
standard_svr,0.05,5,1,medium,172,-0.009403535821027766,0.04903697486939824,0.0662689364609255,0.5523255813953488,0.4476744186046512,0.0
standard_svr,0.05,5,1,high,274,-0.00401663928234703,0.055974387195950215,0.07747911799744576,0.45985401459854014,0.5401459854014599,0.0
standard_svr,0.05,5,1,damaged,555,-0.003295050613781751,0.051636965661296996,0.07333710493104555,0.4882882882882883,0.5117117117117117,0.0
standard_svr,0.05,5,2,all,1800,0.026727594166506826,0.044176730551704006,0.06811451260242925,0.15666666666666668,0.6411111111111111,0.20222222222222222
standard_svr,0.05,5,2,zero,1245,0.0405271458524955,0.0405271458524955,0.06608462295675524,0.0,0.7076305220883534,0.2923694779116466
standard_svr,0.05,5,2,low,109,0.006034522969412642,0.04417530425673081,0.06586164941333927,0.43119266055045874,0.5688073394495413,0.0
standard_svr,0.05,5,2,medium,172,-0.006875449871774038,0.04985127514480274,0.06889903286397533,0.5406976744186046,0.45930232558139533,0.0
standard_svr,0.05,5,2,high,274,-0.006648951504983384,0.05719814203584159,0.07700620272913677,0.5182481751824818,0.48175182481751827,0.0
standard_svr,0.05,5,2,damaged,555,-0.00422815691287316,0.05236363676884743,0.07246148944897211,0.5081081081081081,0.4918918918918919,0.0
standard_svr,0.05,5,3,all,1800,0.027197182665890513,0.04475998722981409,0.06981118922999303,0.16277777777777777,0.6277777777777778,0.20944444444444443
standard_svr,0.05,5,3,zero,1245,0.04117616394211655,0.04117616394211655,0.06796264320326798,0.0,0.6971887550200804,0.3028112449799197
standard_svr,0.05,5,3,low,109,0.005333319622080562,0.04121106439462462,0.06315438871461046,0.5229357798165137,0.47706422018348627,0.0
