sensor_count,sensor_layout,tag,feature_set,model,test_mae,source_table,test_rmse,n_features,mae_on_damaged_entries,mean_prediction_on_zero_entries,config_label
3,1-2-4,debug_sensors_124_3000,full,random_forest,0.0669101268117638,results/tables/physics_ablation/debug_sensors_124_3000/ablation_model_comparison_fixed.csv,0.0883418887032202,92,0.1137354278249318,0.046036197444448,full + random_forest
3,1-2-4,debug_sensors_124_3000,no_meta,random_forest,0.067254576634611,results/tables/physics_ablation/debug_sensors_124_3000/ablation_model_comparison_fixed.csv,0.0887395136764423,86,0.115249044475646,0.0458594524163182,no_meta + random_forest
3,1-2-4,debug_sensors_124_3000,physics_no_meta_core,random_forest,0.067254576634611,results/tables/physics_ablation/debug_sensors_124_3000/ablation_model_comparison_fixed.csv,0.0887395136764423,86,0.115249044475646,0.0458594524163182,physics_no_meta_core + random_forest
3,1-2-4,debug_sensors_124_3000,no_meta,elasticnet,0.0682496663279166,results/tables/physics_ablation/debug_sensors_124_3000/ablation_model_comparison_fixed.csv,0.0891878831298846,86,0.1136867350483794,0.0479945875007224,no_meta + elasticnet
3,1-2-4,debug_sensors_124_3000,physics_no_meta_core,elasticnet,0.0682496663279166,results/tables/physics_ablation/debug_sensors_124_3000/ablation_model_comparison_fixed.csv,0.0891878831298846,86,0.1136867350483794,0.0479945875007224,physics_no_meta_core + elasticnet
3,1-2-4,debug_sensors_124_3000,response_correlation,ridge,0.0685868709113981,results/tables/physics_ablation/debug_sensors_124_3000/ablation_model_comparison_fixed.csv,0.089741080880705,59,0.1127321057053081,0.0489076698586912,response_correlation + ridge
3,1-2-4,debug_sensors_124_3000,response_correlation,random_forest,0.0693367375414173,results/tables/physics_ablation/debug_sensors_124_3000/ablation_model_comparison_fixed.csv,0.0901897321450448,59,0.1161470525826902,0.0484694886675968,response_correlation + random_forest
3,1-2-4,debug_sensors_124_3000,response_frequency,random_forest,0.0695999316221293,results/tables/physics_ablation/debug_sensors_124_3000/ablation_model_comparison_fixed.csv,0.0914068778067058,75,0.1184630469607188,0.0478175790013123,response_frequency + random_forest
3,1-2-4,debug_sensors_124_3000,response_correlation,elasticnet,0.0716936607805734,results/tables/physics_ablation/debug_sensors_124_3000/ablation_model_comparison_fixed.csv,0.0921966670957956,59,0.1184690014375064,0.0508420028973624,response_correlation + elasticnet
3,1-2-4,debug_sensors_124_3000,response_basic_only,random_forest,0.0721645729999776,results/tables/physics_ablation/debug_sensors_124_3000/ablation_model_comparison_fixed.csv,0.0938540703906452,52,0.1206319980201035,0.0505586124488371,response_basic_only + random_forest
3,1-2-4,debug_sensors_124_3000,response_spatial,random_forest,0.0722021253246109,results/tables/physics_ablation/debug_sensors_124_3000/ablation_model_comparison_fixed.csv,0.0935524573178629,64,0.120905339596734,0.0504910539020982,response_spatial + random_forest
3,1-2-4,debug_sensors_124_3000,response_frequency,ridge,0.0722207854537387,results/tables/physics_ablation/debug_sensors_124_3000/ablation_model_comparison_fixed.csv,0.0934505249558739,75,0.1192881310611479,0.05123895668899,response_frequency + ridge
3,1-2-4,debug_sensors_124_3000,response_spatial,ridge,0.0732310429735114,results/tables/physics_ablation/debug_sensors_124_3000/ablation_model_comparison_fixed.csv,0.0942005088513487,64,0.1211820198067066,0.0518553063129303,response_spatial + ridge
3,1-2-4,debug_sensors_124_3000,response_basic_only,ridge,0.0734859953348827,results/tables/physics_ablation/debug_sensors_124_3000/ablation_model_comparison_fixed.csv,0.0942697841437372,52,0.1212237910871403,0.0522052912043582,response_basic_only + ridge
3,1-2-4,debug_sensors_124_3000,response_frequency,elasticnet,0.0752420804712635,results/tables/physics_ablation/debug_sensors_124_3000/ablation_model_comparison_fixed.csv,0.0958657456706668,75,0.1247110422391357,0.0531896517313687,response_frequency + elasticnet
3,1-2-4,debug_sensors_124_3000,response_spatial,elasticnet,0.0758814416726467,results/tables/physics_ablation/debug_sensors_124_3000/ablation_model_comparison_fixed.csv,0.0963498157045378,64,0.1254913359941917,0.0537661875775001,response_spatial + elasticnet
3,1-2-4,debug_sensors_124_3000,response_basic_only,elasticnet,0.0761735902102174,results/tables/physics_ablation/debug_sensors_124_3000/ablation_model_comparison_fixed.csv,0.0964287427752712,52,0.1253791955719159,0.0542385613140385,response_basic_only + elasticnet
2,1-4,debug_sensors_14_3000,full,random_forest,0.0763734479441385,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.0977174641216894,92,0.126960615881704,0.0538225417551033,full + random_forest
2,1-4,debug_sensors_14_3000,no_meta,random_forest,0.076580612931881,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.0979147625742203,86,0.1272057926976158,0.0540127617110113,no_meta + random_forest
2,1-4,debug_sensors_14_3000,physics_no_meta_core,random_forest,0.076580612931881,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.0979147625742203,86,0.1272057926976158,0.0540127617110113,physics_no_meta_core + random_forest
2,1-4,debug_sensors_14_3000,response_correlation,random_forest,0.0773810844725398,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.0991733982175835,59,0.1282167262818162,0.0547194128226214,response_correlation + random_forest
2,1-4,debug_sensors_14_3000,response_frequency,random_forest,0.0785839018440749,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.0999633408252571,75,0.1309628734813242,0.0552342397889156,response_frequency + random_forest
2,1-4,debug_sensors_14_3000,response_spatial,random_forest,0.0787811631761508,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.1003854121477659,64,0.1311467348632362,0.0554374745927512,response_spatial + random_forest
2,1-4,debug_sensors_14_3000,full,ridge,0.0788544216564551,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.1001716548732497,92,0.1326395337130871,0.0548779259203661,full + ridge
2,1-4,debug_sensors_14_3000,response_basic_only,random_forest,0.0791461099713587,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.1008410628932966,52,0.131132951251371,0.0559712530152087,response_basic_only + random_forest
2,1-4,debug_sensors_14_3000,no_meta,ridge,0.0792537861280464,results/tables/physics_ablation/debug_sensors_14_3000/ablation_model_comparison_fixed.csv,0.1003920157814387,86,0.1331441191314553,0.0552303846686955,no_meta + ridge
