configuration_a,configuration_b,scientific_question,test_mae_a,test_mae_b,test_mae_a_minus_b,test_mae_a_minus_b_percent,test_rmse_a,test_rmse_b,test_rmse_a_minus_b,test_rmse_a_minus_b_percent,damaged_entry_mae_a,damaged_entry_mae_b,damaged_entry_mae_a_minus_b,damaged_entry_mae_a_minus_b_percent,high_damage_mae_a,high_damage_mae_b,high_damage_mae_a_minus_b,high_damage_mae_a_minus_b_percent,high_damage_bias_a,high_damage_bias_b,high_damage_bias_a_minus_b,high_damage_bias_a_minus_b_percent,high_damage_underestimation_ratio_a,high_damage_underestimation_ratio_b,high_damage_underestimation_ratio_a_minus_b,high_damage_underestimation_ratio_a_minus_b_percent
measured_ground_augmented,signal_derived_with_ground,Does measured-ground normalisation improve the 78D set?,0.04485699870789237,0.04509373330822819,-0.0002367346003358181,-0.5249833690142074,0.06421893961390704,0.06440124982158656,-0.00018231020767951744,-0.283084890719635,0.0717741410793223,0.07214731851645143,-0.0003731774371291269,-0.5172436686528176,0.09485608287374364,0.09526057999271612,-0.0004044971189724744,-0.4246217260102798,-0.07810423450329464,-0.07830632699713341,0.00020209249383877637,0.2580793935669776,0.8576642335766423,0.8613138686131386,-0.0036496350364962904,-0.4237288135593151
measured_ground_augmented,legacy_no_meta,Can measured-ground features recover the legacy 86D result?,0.04485699870789237,0.0423507660379243,0.002506232669968071,5.917797727020541,0.06421893961390704,0.0617870552650341,0.0024318843488729397,3.93591236617675,0.0717741410793223,0.06929065663085,0.002483484448472295,3.584154876325105,0.09485608287374364,0.09071095349210677,0.004145129381636872,4.569601819914242,-0.07810423450329464,-0.07210142565794471,-0.006002808845349927,-8.325506452296468,0.8576642335766423,0.843065693430657,0.014598540145985384,1.7316017316017296
measured_ground_augmented,oracle_full,How far is the measured-ground set from the oracle upper bound?,0.04485699870789237,0.03928745192749888,0.0055695467803934945,14.176401133551607,0.06421893961390704,0.05864489962227138,0.005574039991635658,9.504731063635113,0.0717741410793223,0.06328921394750639,0.008484927131815909,13.406592691850324,0.09485608287374364,0.08227807696712874,0.012578005906614897,15.287189942030352,-0.07810423450329464,-0.061411293588765375,-0.01669294091452926,-27.182200437450287,0.8576642335766423,0.7992700729927007,0.058394160583941646,7.305936073059366
signal_derived_with_ground,structural_response_only,What is the value of measured ground-input information?,0.04509373330822819,0.053456515322020566,-0.008362782013792376,-15.644083725651045,0.06440124982158656,0.07394983045943701,-0.009548580637850454,-12.91224141898208,0.07214731851645143,0.08554900589313934,-0.013401687376687912,-15.665509185960827,0.09526057999271612,0.1200251461085081,-0.02476456611579199,-20.632814804827408,-0.07830632699713341,-0.11224297081397117,0.03393664381683775,30.23498359918105,0.8613138686131386,0.9306569343065694,-0.06934306569343074,-7.450980392156871
