descriptor_set,n_features,selected_alpha,alpha_at_lower_boundary,alpha_at_upper_boundary,val_mse,val_mae,test_mae,test_rmse,test_bias,damaged_entry_mae,zero_damage_mae,high_damage_mae,high_damage_bias,high_damage_underestimation_ratio,test_mae_change_vs_oracle_full_percent,test_mae_change_vs_legacy_no_meta_percent,test_mae_change_vs_signal_derived_with_ground_percent,test_mae_change_vs_measured_ground_augmented_percent
oracle_full,92,0.0001,False,False,0.0031115124393745514,0.038690034320835,0.03928745192749888,0.05864489962227138,0.005950887494313758,0.06328921394750639,0.028587871267977447,0.08227807696712874,-0.061411293588765375,0.7992700729927007,0.0,-7.2331964613869895,-12.876027232080714,-12.416226989822125
legacy_no_meta,86,0.0003,False,False,0.0035002543021154272,0.04147252205638702,0.0423507660379243,0.0617870552650341,0.0053494706329775136,0.06929065663085,0.03034141721939116,0.09071095349210677,-0.07210142565794471,0.843065693430657,7.797181950304305,0.0,-6.082812553032472,-5.5871608492770415
measured_ground_augmented,86,0.0003,False,False,0.0037384117186632965,0.04356791212159051,0.04485699870789237,0.06421893961390704,0.006015436788144546,0.0717741410793223,0.03285779066279709,0.09485608287374364,-0.07810423450329464,0.8576642335766423,14.176401133551607,5.917797727020541,-0.5249833690142074,0.0
signal_derived_with_ground,78,0.0003,False,False,0.00375472334056629,0.04382235062874399,0.04509373330822819,0.06440124982158656,0.006105362199372817,0.07214731851645143,0.033033701347935894,0.09526057999271612,-0.07830632699713341,0.8613138686131386,14.778971645817684,6.476783130316025,0.0,0.5277539896893856
structural_response_only,59,1e-06,True,False,0.005161257438235742,0.05265729995904702,0.053456515322020566,0.07394983045943701,0.004217074964792724,0.08554900589313934,0.039150224344533885,0.1200251461085081,-0.11224297081397117,0.9306569343065694,36.065111630729575,26.223254791073387,18.545330803795814,19.170958516703326
