descriptor_set,n_features,model,selected_candidate,selected_alpha,selected_C,selected_gamma,selected_epsilon,val_mse,val_mae,test_mae,test_rmse,test_bias,damaged_entry_mae,zero_damage_mae,high_damage_mae,high_damage_bias,high_damage_underestimation_ratio,mean_support_vector_ratio
signal_derived_with_ground,78,ridge,ridge_alpha_0.0003,0.0003,,,,0.00375472334056629,0.04382235062874399,0.04509373330822819,0.06440124982158656,0.006105362199372817,0.07214731851645143,0.033033701347935894,0.09526057999271612,-0.07830632699713341,0.8613138686131386,
signal_derived_with_ground,78,rbf_svr,rbf_svr_C_1000_gamma_0p00075_eps_0.03,,1000.0,0.00075,0.03,0.002256262230781473,0.03071469315782859,0.03304390984991872,0.05236361525082161,0.0034016917268612453,0.05486814963131641,0.02331503187507879,0.06700843225329559,-0.05412713818229689,0.7773722627737226,0.4838095238095238
oracle_full,92,ridge,ridge_alpha_0.0001,0.0001,,,,0.0031115124393745514,0.038690034320835,0.03928745192749888,0.05864489962227138,0.005950887494313758,0.06328921394750639,0.028587871267977447,0.08227807696712874,-0.061411293588765375,0.7992700729927007,
oracle_full,92,rbf_svr,rbf_svr_C_750_gamma_0p001_eps_0.02,,750.0,0.001,0.02,0.0016069780124355192,0.023452878256886356,0.024385986374805255,0.04456640977538721,0.0027874832829056376,0.041757921284824105,0.01664187081250769,0.04918270723934687,-0.030053891253425852,0.6861313868613139,0.46964285714285714
