effect,configuration_a,configuration_b,test_mae_a,test_mae_b,test_mae_change_percent,high_damage_mae_a,high_damage_mae_b
information_effect_under_ridge,oracle_full + ridge,78D + ridge,0.03928745192749888,0.04509373330822819,-12.876027232080714,0.08227807696712874,0.09526057999271612
information_effect_under_svr,oracle_full + svr,78D + svr,0.024385986374805255,0.03304390984991872,-26.20126829553968,0.04918270723934687,0.06700843225329559
model_effect_on_78D,78D + svr,78D + ridge,0.03304390984991872,0.04509373330822819,-26.72172511409862,0.06700843225329559,0.09526057999271612
model_effect_on_92D,oracle_full + svr,oracle_full + ridge,0.024385986374805255,0.03928745192749888,-37.929325577522334,0.04918270723934687,0.08227807696712874
