descriptor_set,model,candidate,alpha,C,gamma,epsilon,val_mse,val_mae,fit_seconds,mean_support_vector_ratio,selected
signal_derived_with_ground,ridge,ridge_alpha_1e-06,1e-06,,,,0.0037700103133913843,0.043839770243197775,0.01218908402370289,,False
signal_derived_with_ground,ridge,ridge_alpha_3e-06,3e-06,,,,0.003767744308363556,0.04383988757049199,0.0005119999987073243,,False
signal_derived_with_ground,ridge,ridge_alpha_1e-05,1e-05,,,,0.0037642334571660763,0.043837823813493805,0.00041612499626353383,,False
signal_derived_with_ground,ridge,ridge_alpha_3e-05,3e-05,,,,0.0037600802460044246,0.04383018822751682,0.0003973750281147659,,False
signal_derived_with_ground,ridge,ridge_alpha_0.0001,0.0001,,,,0.003756249427323674,0.04382181528521287,0.00038945802953094244,,False
signal_derived_with_ground,ridge,ridge_alpha_0.0003,0.0003,,,,0.00375472334056629,0.04382235062874399,0.0003795420052483678,,True
signal_derived_with_ground,ridge,ridge_alpha_0.001,0.001,,,,0.0037549567335976096,0.043827006656283314,0.0003791659837588668,,False
signal_derived_with_ground,ridge,ridge_alpha_0.003,0.003,,,,0.003757790320095158,0.04384705394583261,0.0003773749922402203,,False
signal_derived_with_ground,ridge,ridge_alpha_0.01,0.01,,,,0.003770757617468498,0.043928209952899935,0.0003756249789148569,,False
signal_derived_with_ground,ridge,ridge_alpha_0.03,0.03,,,,0.003810407978136322,0.044238699278944464,0.0003751660115085542,,False
signal_derived_with_ground,ridge,ridge_alpha_0.1,0.1,,,,0.0039215443303830125,0.04513348254100699,0.00037566700484603643,,False
signal_derived_with_ground,ridge,ridge_alpha_1,1.0,,,,0.004549977248433545,0.04979397433121417,0.0003779159742407501,,False
signal_derived_with_ground,ridge,ridge_alpha_10,10.0,,,,0.006377528553443829,0.06184847982194051,0.00037395802792161703,,False
signal_derived_with_ground,ridge,ridge_alpha_100,100.0,,,,0.008856716938023047,0.07584694347091114,0.0003803750150837004,,False
signal_derived_with_ground,ridge,ridge_alpha_300,300.0,,,,0.009546021916811661,0.07946211809745228,0.0005041250260546803,,False
signal_derived_with_ground,rbf_svr,rbf_svr_C_100_gamma_0p0005_eps_0.02,,100.0,0.0005,0.02,0.003531156032055469,0.03748932056178281,0.8389932499849238,0.6428571428571429,False
signal_derived_with_ground,rbf_svr,rbf_svr_C_100_gamma_0p0005_eps_0.03,,100.0,0.0005,0.03,0.0034321938935045772,0.038906283418171615,0.7485381669830531,0.539047619047619,False
signal_derived_with_ground,rbf_svr,rbf_svr_C_100_gamma_0p0005_eps_0.04,,100.0,0.0005,0.04,0.0034405551187262602,0.04099645607010692,0.6153462089714594,0.4521428571428571,False
signal_derived_with_ground,rbf_svr,rbf_svr_C_100_gamma_0p00075_eps_0.02,,100.0,0.00075,0.02,0.003103671945258891,0.03490239185037754,1.105911709018983,0.6385714285714286,False
signal_derived_with_ground,rbf_svr,rbf_svr_C_100_gamma_0p00075_eps_0.03,,100.0,0.00075,0.03,0.003031510935330025,0.036085222973358255,0.8948679159511812,0.5241666666666667,False
signal_derived_with_ground,rbf_svr,rbf_svr_C_100_gamma_0p00075_eps_0.04,,100.0,0.00075,0.04,0.0030581805876586515,0.03822065115345276,0.7602487499825656,0.43154761904761907,False
signal_derived_with_ground,rbf_svr,rbf_svr_C_100_gamma_0p001_eps_0.02,,100.0,0.001,0.02,0.002865839419122259,0.033454541269948554,1.3939052920322865,0.6359523809523809,False
signal_derived_with_ground,rbf_svr,rbf_svr_C_100_gamma_0p001_eps_0.03,,100.0,0.001,0.03,0.0028109459867501217,0.03468218380612861,1.135994624986779,0.5128571428571429,False
