sensor_count,n_layouts,feature_count_mean,feature_count_min,feature_count_max,test_mae_mean,test_mae_std,test_mae_min,test_mae_max,test_mae_range,best_mae_layout,worst_mae_layout,best_mae_ratio_to_full,best_mae_excess_vs_full_percent,test_high_mae_mean,test_high_mae_std,test_high_mae_min,test_high_mae_max,test_high_mae_range,best_high_mae_layout,worst_high_mae_layout
1,4,17.5,17,19,0.07337441661275201,0.0017806876462773164,0.07126812324392577,0.07558714837021632,0.004319025126290552,1,4,3.232533696258787,223.25336962587872,0.21870505401473367,0.008982954578090466,0.20738754458586334,0.2288954880989566,0.021507943513093264,1,4
2,6,32.5,29,36,0.05818664667402724,0.0032716012213718382,0.05458069830471836,0.0637990530029683,0.009218354698249942,12,24,2.4756362087923307,147.56362087923304,0.1455292987906027,0.00877019944599813,0.13824637445155932,0.16159540884990897,0.02334903439834965,13,24
3,4,50.0,48,53,0.04004128466745764,0.0038003701797099812,0.03456176217141588,0.043347068171305715,0.008785305999889838,123,124,1.5676301793271403,56.76301793271404,0.08408972747460741,0.0034433323355652756,0.078976520761429,0.08628125704993417,0.00730473628850517,123,134
4,1,78.0,78,78,0.022047140089029485,0.0,0.022047140089029485,0.022047140089029485,0.0,1234,1234,1.0,0.0,0.03677995557782435,0.0,0.03677995557782435,0.03677995557782435,0.0,1234,1234
