added_sensor,n_base_layouts,mae_relative_improvement_mean_percent,mae_relative_improvement_median_percent,mae_relative_improvement_min_percent,mae_relative_improvement_max_percent,mae_positive_improvement_fraction,high_mae_relative_improvement_mean_percent,high_mae_positive_improvement_fraction
1,7,30.457327192169057,28.648086173691173,20.865107285166218,46.49688256705334,1.0,42.55994459413812,1.0
2,7,29.24370297692128,27.532421506285328,15.595369876253853,46.29081000017291,1.0,39.66556942413326,1.0
3,7,31.41137731493367,31.374158999927708,19.233855727098046,49.13810548408913,1.0,41.8813904106101,1.0
4,7,23.185256251476112,21.21922676097841,13.335753495737501,36.20944447310775,1.0,37.42563855081936,1.0
