layout_tag,sensor_layout,sensor_count,feature_count,feature_fraction_of_full,selected_C,selected_gamma,selected_epsilon,val_mse,val_mae,val_rmse,val_bias,val_damaged_mae,val_zero_mae,val_low_mae,val_medium_mae,val_high_mae,val_high_bias,val_high_abs_bias,val_high_underestimation,val_n_zero,val_n_low,val_n_medium,val_n_high,test_mse,test_mae,test_rmse,test_bias,test_damaged_mae,test_zero_mae,test_low_mae,test_medium_mae,test_high_mae,test_high_bias,test_high_abs_bias,test_high_underestimation,test_n_zero,test_n_low,test_n_medium,test_n_high,dataset_file,test_mae_ratio_to_full,test_mae_excess_vs_full_percent,test_high_mae_ratio_to_full,test_high_mae_excess_vs_full_percent,test_mae_rank,test_high_mae_rank
1234,"1,2,3,4",4,78,1.0,1000.0,0.003,0.03,0.0012512588241516056,0.02174091191585765,0.03537313704142744,0.007660344417533212,0.03097343691193951,0.017846624121301793,0.02774023309215071,0.0272949392670894,0.034501835514634115,-0.01840473516832802,0.01840473516832802,0.6591760299625468,1266,90,177,267,0.0011911835959763865,0.022047140089029485,0.03451352772430524,0.006181815452720446,0.03211125002066712,0.017560729637576558,0.02173286519986604,0.031250893176517344,0.03677995557782435,-0.02133730479685522,0.02133730479685522,0.6824817518248175,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_1234_clean_descriptors.npz,1.0,0.0,1.0,0.0,1,1
1,1,1,19,0.24358974358974358,1000.0,0.01,0.04,0.009797932652401826,0.06979858205083606,0.09898450713319648,-0.012447355750923204,0.1408830471480413,0.039815087294194966,0.03741545835000243,0.09984980901644948,0.20296157202113213,-0.2012370074746258,0.2012370074746258,0.9925093632958801,1266,90,177,267,0.010371916907512917,0.07126812324392577,0.10184260850701399,-0.014032136236040698,0.1416519746820768,0.03989218947029219,0.0404637849745293,0.10105875680117657,0.20738754458586334,-0.2056673763041538,0.2056673763041538,0.9817518248175182,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_1_clean_descriptors.npz,3.232533696258787,223.25336962587872,5.638602367179122,463.86023671791224,12,12
2,2,1,17,0.21794871794871795,300.0,0.01,0.04,0.009907766315365083,0.07174850657775238,0.09953776326281942,-0.013823251339886818,0.14607865902729253,0.04039597781941553,0.03929713566126934,0.10523342912720396,0.20914960582601083,-0.20914960582601083,0.20914960582601083,1.0,1266,90,177,267,0.01073335722263844,0.07361634765938962,0.10360191707993843,-0.016041439368874783,0.1472751678084604,0.04078048807486409,0.03912858810832412,0.10459724671317527,0.21708750217234327,-0.21708750217234327,0.21708750217234327,1.0,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_2_clean_descriptors.npz,3.3390429489773434,233.90429489773433,5.902331820738558,490.2331820738558,14,13
3,3,1,17,0.21794871794871795,1000.0,0.003,0.04,0.009821859250063415,0.07088734514812586,0.09910529375398378,-0.016289063975964,0.14772143476314045,0.03847865331999175,0.038212277189012114,0.10354005758671693,0.21392341207362173,-0.21334134847885922,0.21334134847885922,0.9925093632958801,1266,90,177,267,0.010615795321695844,0.07302604717747635,0.10303298171797147,-0.018254404392992047,0.14949266694253108,0.038938517884620605,0.038314950941358686,0.10531911541401885,0.22144968120177155,-0.22075076314114864,0.22075076314114864,0.9927007299270073,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_3_clean_descriptors.npz,3.3122684793849357,231.22684793849356,6.020933895180931,502.09338951809303,13,14
4,4,1,17,0.21794871794871795,300.0,0.01,0.04,0.010358219233682289,0.0734874551743922,0.1017753370600279,-0.016182775779670047,0.15296444970538645,0.03996398354757471,0.04183281160893375,0.10653030704735485,0.22120673689322295,-0.22038114309189138,0.22038114309189138,0.9925093632958801,1266,90,177,267,0.011176567768470431,0.07558714837021632,0.10571928758968456,-0.018586891253846667,0.15408298742452226,0.04059502734600765,0.03823250856614269,0.10832180725457086,0.2288954880989566,-0.22887080816698543,0.22887080816698543,0.9963503649635036,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_4_clean_descriptors.npz,3.4284332600502685,242.84332600502685,6.223375871529438,522.3375871529438,15,15
12,"1,2",2,36,0.46153846153846156,1000.0,0.003,0.04,0.006002623166856258,0.053176590698921576,0.07747659754310497,-0.0011057662328421306,0.0957611234762105,0.03521439440897505,0.038602448792653864,0.06751441979051594,0.13375343536343165,-0.12943871765768006,0.12943871765768006,0.9588014981273408,1266,90,177,267,0.006719976631555566,0.05458069830471836,0.08197546359463645,-0.004019246971651151,0.09868793174097638,0.03491843761626599,0.034560622382909655,0.07486905300999874,0.13915042758680643,-0.13576880379676978,0.13576880379676978,0.9379562043795621,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_12_clean_descriptors.npz,2.4756362087923307,147.56362087923304,3.7833223395926034,278.33223395926035,6,7
13,"1,3",2,31,0.3974358974358974,1000.0,0.01,0.04,0.00718385995959639,0.05746436188286447,0.08475765428323503,0.0035109408339322537,0.09754078626209992,0.04056008809257084,0.039678206075061284,0.0690045695248699,0.13596229404982718,-0.12828607534770461,0.12828607534770461,0.9288389513108615,1266,90,177,267,0.007463387939768443,0.05756051523977866,0.08639090195019637,0.001844635870061372,0.09602813150393173,0.040412300760577904,0.03528980718070365,0.06726463605964043,0.13824637445155932,-0.1313622084115557,0.1313622084115557,0.8978102189781022,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_13_clean_descriptors.npz,2.6107928287905424,161.07928287905423,3.7587422899148875,275.87422899148874,9,6
14,"1,4",2,31,0.3974358974358974,750.0,0.01,0.04,0.0072144854498447835,0.05838056259854527,0.08493812718588033,0.0006350234592012175,0.10291520047157408,0.039595810130774824,0.038016116799188406,0.07283045991996114,0.14473511286164972,-0.13869826172802704,0.13869826172802704,0.947565543071161,1266,90,177,267,0.00785176433295189,0.05981580876897292,0.08861018188081937,-0.0005285054893237227,0.10314327001734665,0.04050115736909546,0.03809972080914336,0.07330380253229288,0.14774960312363647,-0.14108385643161733,0.14108385643161733,0.927007299270073,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_14_clean_descriptors.npz,2.7130869821404584,171.30869821404582,4.017122935643751,301.712293564375,10,10
23,"2,3",2,34,0.4358974358974359,1000.0,0.003,0.04,0.006279118251483356,0.05402804202529031,0.0792408874980799,-0.004446007290267564,0.10226925606952639,0.0336798522151623,0.03875519047014354,0.07740844092724342,0.14015925675914642,-0.1384651868898797,0.1384651868898797,0.9662921348314607,1266,90,177,267,0.007023303649197779,0.05583332009541664,0.08380515287974707,-0.005113184166370073,0.10296930648355825,0.03482089242841377,0.03828520403678718,0.07518635615624712,0.1461416956185785,-0.14330857599699479,0.14330857599699479,0.9708029197080292,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_23_clean_descriptors.npz,2.532451822320435,153.2451822320435,3.9734059849352126,297.34059849352127,7,9
24,"2,4",2,29,0.3717948717948718,300.0,0.01,0.04,0.00786443834990706,0.06277230395135652,0.08868166862383149,-0.0017730959243642027,0.1140320921335277,0.04115087670863979,0.04675659176621293,0.0836506343702561,0.15684974403299362,-0.15445268069766868,0.15445268069766868,0.9775280898876404,1266,90,177,267,0.008215940569283063,0.0637990530029683,0.09064182571684588,-0.0041953716153416394,0.11546676532809491,0.04076645835200824,0.04665012521283397,0.08559330862801577,0.16159540884990897,-0.16143513812224247,0.16143513812224247,0.9854014598540146,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_24_clean_descriptors.npz,2.893756412184921,189.3756412184921,4.393572703153,339.3572703153,11,11
