sensor_count,n_layouts,best_layout,worst_layout,best_test_mae,worst_test_mae,absolute_placement_spread,relative_placement_spread_percent,high_mae_spread
1,4,1,4,0.07126812324392577,0.07558714837021632,0.004319025126290552,6.0602481582236205,0.021507943513093264
2,6,12,24,0.05458069830471836,0.0637990530029683,0.009218354698249942,16.889404101766576,0.02334903439834965
3,4,123,124,0.03456176217141588,0.043347068171305715,0.008785305999889838,25.4191495107147,0.00730473628850517
4,1,1234,1234,0.022047140089029485,0.022047140089029485,0.0,0.0,0.0
