base_layout,base_sensor_count,added_sensor,augmented_layout,base_feature_count,augmented_feature_count,feature_gain,base_test_mae,augmented_test_mae,mae_improvement,mae_relative_improvement_percent,base_high_mae,augmented_high_mae,high_mae_improvement,high_mae_relative_improvement_percent
1,1,2,12,19,36,17,0.07126812324392577,0.05458069830471836,0.016687424939207413,23.414991415014835,0.20738754458586334,0.13915042758680643,0.06823711699905691,32.903189598643
1,1,3,13,19,31,12,0.07126812324392577,0.05756051523977866,0.01370760800414711,19.233855727098046,0.20738754458586334,0.13824637445155932,0.06914117013430401,33.33911410753886
1,1,4,14,19,31,12,0.07126812324392577,0.05981580876897292,0.011452314474952853,16.06933640690327,0.20738754458586334,0.14774960312363647,0.05963794146222687,28.75676144453089
2,1,1,12,17,36,19,0.07361634765938962,0.05458069830471836,0.019035649354671266,25.85791058630889,0.21708750217234327,0.13915042758680643,0.07793707458553684,35.901225913808474
2,1,3,23,17,34,17,0.07361634765938962,0.05583332009541664,0.017783027563972986,24.15635674599349,0.21708750217234327,0.1461416956185785,0.07094580655376476,32.68074202514049
2,1,4,24,17,29,12,0.07361634765938962,0.0637990530029683,0.009817294656421324,13.335753495737501,0.21708750217234327,0.16159540884990897,0.055492093322434294,25.56208568763197
3,1,1,13,17,31,14,0.07302604717747635,0.05756051523977866,0.015465531937697688,21.17810361570244,0.22144968120177155,0.13824637445155932,0.08320330675021223,37.572105003123674
3,1,2,23,17,34,17,0.07302604717747635,0.05583332009541664,0.01719272708205971,23.543280441122544,0.22144968120177155,0.1461416956185785,0.07530798558319304,34.00681598388799
3,1,4,34,17,34,17,0.07302604717747635,0.057530484632308566,0.015495562545167783,21.21922676097841,0.22144968120177155,0.14029228311312641,0.08115739808864514,36.648234329449956
4,1,1,14,17,31,14,0.07558714837021632,0.05981580876897292,0.015771339601243405,20.865107285166218,0.2288954880989566,0.14774960312363647,0.08114588497532013,35.45106356147962
4,1,2,24,17,29,12,0.07558714837021632,0.0637990530029683,0.011788095367248022,15.595369876253853,0.2288954880989566,0.16159540884990897,0.06730007924904763,29.402099538088017
4,1,3,34,17,34,17,0.07558714837021632,0.057530484632308566,0.018056663737907756,23.88853677806245,0.2288954880989566,0.14029228311312641,0.08860320498583019,38.709022061424406
12,2,3,123,36,53,17,0.05458069830471836,0.03456176217141588,0.02001893613330248,36.67768415409206,0.13915042758680643,0.078976520761429,0.06017390682537743,43.24378147371416
12,2,4,124,36,48,12,0.05458069830471836,0.043347068171305715,0.011233630133412643,20.581690015573738,0.13915042758680643,0.08512995381160166,0.054020473775204775,38.8216369234691
13,2,2,123,31,53,22,0.05756051523977866,0.03456176217141588,0.022998753068362784,39.95578040355849,0.13824637445155932,0.078976520761429,0.059269853690130325,42.87262789007036
13,2,4,134,31,48,17,0.05756051523977866,0.04104910181870265,0.01651141342107601,28.68531206208762,0.13824637445155932,0.08628125704993417,0.051965117401625155,37.58877410548905
14,2,2,124,31,48,17,0.05981580876897292,0.043347068171305715,0.016468740597667203,27.532421506285328,0.14774960312363647,0.08512995381160166,0.06261964931203481,42.38227919951491
14,2,3,134,31,48,17,0.05981580876897292,0.04104910181870265,0.018766706950270266,31.374158999927708,0.14774960312363647,0.08628125704993417,0.0614683460737023,41.60305325643803
23,2,1,123,34,53,19,0.05583332009541664,0.03456176217141588,0.02127155792400076,38.09832173270123,0.1461416956185785,0.078976520761429,0.06716517485714951,45.95894044670645
23,2,4,234,34,51,17,0.05583332009541664,0.04120720650840634,0.014626113587010298,26.196030545944478,0.1461416956185785,0.08597117827546485,0.060170517343113655,41.17272424439037
24,2,1,124,29,48,19,0.0637990530029683,0.043347068171305715,0.020451984831662585,32.0568783845601,0.16159540884990897,0.08512995381160166,0.07646545503830732,47.31907644067351
24,2,3,234,29,51,22,0.0637990530029683,0.04120720650840634,0.02259184649456196,35.41094331527281,0.16159540884990897,0.08597117827546485,0.07562423057444412,46.7985019578647
34,2,1,134,34,48,14,0.057530484632308566,0.04104910181870265,0.016481382813605915,28.648086173691173,0.14029228311312641,0.08628125704993417,0.05401102606319225,38.49892871131036
34,2,2,234,34,51,17,0.057530484632308566,0.04120720650840634,0.016323278123902225,28.37326719604102,0.14029228311312641,0.08597117827546485,0.05432110483766156,38.71995211159196
123,3,4,1234,53,78,25,0.03456176217141588,0.022047140089029485,0.012514622082386392,36.20944447310775,0.078976520761429,0.03677995557782435,0.04219656518360465,53.429253120774156
124,3,3,1234,48,78,30,0.043347068171305715,0.022047140089029485,0.02129992808227623,49.13810548408913,0.08512995381160166,0.03677995557782435,0.04834999823377731,56.795517992150124
134,3,2,1234,48,78,30,0.04104910181870265,0.022047140089029485,0.019001961729673167,46.29081000017291,0.08628125704993417,0.03677995557782435,0.04950130147210982,57.37202164713662
234,3,1,1234,51,78,27,0.04120720650840634,0.022047140089029485,0.019160066419376856,46.49688256705334,0.08597117827546485,0.03677995557782435,0.04919122269764051,57.21827208186478
