candidate,C,gamma,epsilon,val_mse,val_mae,fit_seconds,support_vectors_story_1,support_vectors_story_2,support_vectors_story_3,support_vectors_story_4,mean_support_vector_count,mean_support_vector_ratio,selected
rbf_svr_C_300_gamma_0p001_eps_0.04,300.0,0.001,0.04,0.0024463383660802422,0.03324589277716889,2.1489768339670263,835,819,707,919,820.0,0.3904761904761905,False
rbf_svr_C_1000_gamma_0p0005_eps_0.04,1000.0,0.0005,0.04,0.0024486631217149777,0.033164698959750355,3.679496874974575,829,811,719,913,818.0,0.38952380952380955,False
rbf_svr_C_1000_gamma_0p0005_eps_0.02,1000.0,0.0005,0.02,0.0024513107044799175,0.03103922763739405,6.343058124999516,1240,1335,1281,1409,1316.25,0.6267857142857143,False
rbf_svr_C_750_gamma_0p0015_eps_0.02,750.0,0.0015,0.02,0.0024729024478887173,0.030181859401658816,14.439562665997073,1209,1265,1219,1397,1272.5,0.6059523809523809,False
rbf_svr_C_1000_gamma_0p0015_eps_0.04,1000.0,0.0015,0.04,0.00249064843983905,0.03194303485917535,8.559255041996948,743,774,704,905,781.5,0.37214285714285716,False
rbf_svr_C_750_gamma_0p0005_eps_0.03,750.0,0.0005,0.03,0.002495293807535459,0.03252516005825776,3.600114167027641,1016,1055,960,1144,1043.75,0.49702380952380953,False
rbf_svr_C_750_gamma_0p0005_eps_0.04,750.0,0.0005,0.04,0.002504752412991282,0.03380174687020568,2.9340097089880146,845,825,728,924,830.5,0.3954761904761905,False
rbf_svr_C_1000_gamma_0p0015_eps_0.03,1000.0,0.0015,0.03,0.002513650767087663,0.030808227317219685,13.988648624974303,930,1004,942,1106,995.5,0.47404761904761905,False
rbf_svr_C_750_gamma_0p0005_eps_0.02,750.0,0.0005,0.02,0.002532530991129572,0.03149897320661366,4.984515832969919,1252,1344,1286,1414,1324.0,0.6304761904761905,False
rbf_svr_C_300_gamma_0p00075_eps_0.03,300.0,0.00075,0.03,0.002549303374010786,0.03290439884761686,2.254271542013157,1021,1055,973,1147,1049.0,0.49952380952380954,False
rbf_svr_C_300_gamma_0p00075_eps_0.04,300.0,0.00075,0.04,0.0025795652913289183,0.03445278861650448,1.7951410409878008,868,832,732,927,839.75,0.3998809523809524,False
rbf_svr_C_300_gamma_0p00075_eps_0.02,300.0,0.00075,0.02,0.0025937325360204273,0.031955497247170735,2.871560374973342,1240,1343,1280,1423,1321.5,0.6292857142857143,False
rbf_svr_C_1000_gamma_0p0015_eps_0.02,1000.0,0.0015,0.02,0.0025937663265591057,0.030282189114467638,18.50731537496904,1195,1288,1221,1403,1276.75,0.6079761904761904,False
rbf_svr_C_500_gamma_0p0005_eps_0.03,500.0,0.0005,0.03,0.0026126056870555228,0.03327376514427056,2.539365916978568,1023,1068,985,1154,1057.5,0.5035714285714286,False
rbf_svr_C_500_gamma_0p0005_eps_0.04,500.0,0.0005,0.04,0.0026185582242586928,0.03484290562863331,2.010494583984837,867,845,732,942,846.5,0.4030952380952381,False
rbf_svr_C_500_gamma_0p0005_eps_0.02,500.0,0.0005,0.02,0.002663851725112082,0.032287829472606,3.092076666012872,1247,1363,1293,1434,1334.25,0.6353571428571428,False
rbf_svr_C_1000_gamma_0p0003_eps_0.04,1000.0,0.0003,0.04,0.0026828704324132176,0.03512146616604463,2.394332083000336,870,873,738,955,859.0,0.40904761904761905,False
rbf_svr_C_1000_gamma_0p0003_eps_0.03,1000.0,0.0003,0.03,0.002683498580561061,0.0337243960074364,3.0314016249612905,1039,1073,994,1176,1070.5,0.5097619047619047,False
rbf_svr_C_1000_gamma_0p0003_eps_0.02,1000.0,0.0003,0.02,0.002730836803235914,0.032719514053038294,4.101524625031743,1250,1380,1294,1433,1339.25,0.6377380952380952,False
rbf_svr_C_750_gamma_0p0003_eps_0.04,750.0,0.0003,0.04,0.0027909731572226255,0.035971928022085854,1.9093364589498378,893,886,742,971,873.0,0.4157142857142857,False
rbf_svr_C_750_gamma_0p0003_eps_0.03,750.0,0.0003,0.03,0.002797035675848559,0.03432079947591925,2.4273420829558745,1042,1106,1009,1178,1083.75,0.5160714285714286,False
rbf_svr_C_300_gamma_0p0005_eps_0.04,300.0,0.0005,0.04,0.002812313384715893,0.03635048074194837,1.27638133399887,902,880,750,967,874.75,0.41654761904761906,False
rbf_svr_C_300_gamma_0p0005_eps_0.03,300.0,0.0005,0.03,0.00281369542638395,0.03449915027342828,1.527746042003855,1035,1098,1011,1185,1082.25,0.5153571428571428,False
rbf_svr_C_750_gamma_0p0003_eps_0.02,750.0,0.0003,0.02,0.0028481329851150535,0.03338487755639186,3.156191874993965,1245,1372,1312,1441,1342.5,0.6392857142857142,False
rbf_svr_C_300_gamma_0p0005_eps_0.02,300.0,0.0005,0.02,0.002866208890415784,0.03352788236820693,1.975301833008416,1227,1375,1296,1433,1332.75,0.6346428571428572,False
rbf_svr_C_500_gamma_0p0003_eps_0.03,500.0,0.0003,0.03,0.0029568793605490415,0.03533664699315964,1.6874816250056028,1054,1127,1017,1198,1099.0,0.5233333333333333,False
rbf_svr_C_500_gamma_0p0003_eps_0.04,500.0,0.0003,0.04,0.0030056484517256674,0.03747342730495695,1.3641527089639567,911,912,778,977,894.5,0.42595238095238097,False
rbf_svr_C_500_gamma_0p0003_eps_0.02,500.0,0.0003,0.02,0.003020397806568589,0.03435905837707737,2.0395891669904813,1245,1386,1325,1434,1347.5,0.6416666666666667,False
rbf_svr_C_300_gamma_0p0003_eps_0.03,300.0,0.0003,0.03,0.0032157697822689305,0.03720044513038076,1.1354042090242729,1071,1155,1030,1213,1117.25,0.5320238095238096,False
rbf_svr_C_300_gamma_0p0003_eps_0.04,300.0,0.0003,0.04,0.0032479778120234,0.039312952008485454,0.944893834006507,945,979,806,999,932.25,0.44392857142857145,False
rbf_svr_C_300_gamma_0p0003_eps_0.02,300.0,0.0003,0.02,0.0032881606309118974,0.03588161051301238,1.3378427909919992,1242,1388,1326,1437,1348.25,0.6420238095238096,False
