feature_set,estimator,experiment_dir,metrics_path,model,best_candidate,condition_mode,output_mode,final_mode,n_features,best_epoch,best_val_mse,test_mse,test_mae,test_rmse,negative_prediction_ratio,mean_prediction_on_zero_entries,mae_on_damaged_entries,mean_true_damage,mean_pred_damage,precision_macro,recall_macro,f1_macro,exact_mask_match_ratio
full,random_forest,results/tables/physics_ablation/debug_sensors_14_3000/full/random_forest,results/tables/physics_ablation/debug_sensors_14_3000/full/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_None_leaf_3,not_applicable,clipped,not_applicable,92,not_available,0.009081328833450968,0.00954870279437367,0.07637344794413856,0.09771746412168948,0.0,0.053822541755103356,0.126960615881704,0.061442062571819854,0.06051524373537769,not_available,not_available,not_available,not_available
no_meta,random_forest,results/tables/physics_ablation/debug_sensors_14_3000/no_meta/random_forest,results/tables/physics_ablation/debug_sensors_14_3000/no_meta/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_None_leaf_3,not_applicable,clipped,not_applicable,86,not_available,0.009094663708169469,0.009587300729965949,0.07658061293188108,0.09791476257422038,0.0,0.054012761711011346,0.12720579269761584,0.061442062571819854,0.060612693818368577,not_available,not_available,not_available,not_available
physics_no_meta_core,random_forest,results/tables/physics_ablation/debug_sensors_14_3000/physics_no_meta_core/random_forest,results/tables/physics_ablation/debug_sensors_14_3000/physics_no_meta_core/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_None_leaf_3,not_applicable,clipped,not_applicable,86,not_available,0.009094663708169467,0.009587300729965949,0.07658061293188108,0.09791476257422038,0.0,0.054012761711011346,0.12720579269761584,0.061442062571819854,0.060612693818368577,not_available,not_available,not_available,not_available
response_correlation,random_forest,results/tables/physics_ablation/debug_sensors_14_3000/response_correlation/random_forest,results/tables/physics_ablation/debug_sensors_14_3000/response_correlation/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_None_leaf_3,not_applicable,clipped,not_applicable,59,not_available,0.009225849699640055,0.009835362914023397,0.07738108447253984,0.09917339821758352,0.0,0.05471941282262144,0.12821672628181624,0.061442062571819854,0.06067414051187555,not_available,not_available,not_available,not_available
response_frequency,random_forest,results/tables/physics_ablation/debug_sensors_14_3000/response_frequency/random_forest,results/tables/physics_ablation/debug_sensors_14_3000/response_frequency/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_None_leaf_5,not_applicable,clipped,not_applicable,75,not_available,0.009515698869349418,0.00999266950894652,0.07858390184407499,0.09996334082525714,0.0,0.055234239788915666,0.13096287348132427,0.061442062571819854,0.060131311457190924,not_available,not_available,not_available,not_available
response_spatial,random_forest,results/tables/physics_ablation/debug_sensors_14_3000/response_spatial/random_forest,results/tables/physics_ablation/debug_sensors_14_3000/response_spatial/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_None_leaf_5,not_applicable,clipped,not_applicable,64,not_available,0.009539554155473352,0.010077230972076839,0.07878116317615082,0.10038541214776596,0.0,0.05543747459275127,0.13114673486323628,0.061442062571819854,0.060210252124934735,not_available,not_available,not_available,not_available
full,ridge,results/tables/physics_ablation/debug_sensors_14_3000/full/ridge,results/tables/physics_ablation/debug_sensors_14_3000/full/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,92,not_available,0.00930583513148321,0.010034360440045468,0.07885442165645513,0.10017165487324979,0.0,0.05487792592036616,0.13263953371308715,0.061442062571819854,0.059888995469512665,not_available,not_available,not_available,not_available
response_basic_only,random_forest,results/tables/physics_ablation/debug_sensors_14_3000/response_basic_only/random_forest,results/tables/physics_ablation/debug_sensors_14_3000/response_basic_only/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_None_leaf_5,not_applicable,clipped,not_applicable,52,not_available,0.009702225536032519,0.010168919965449814,0.07914610997135876,0.10084106289329667,0.0,0.055971253015208736,0.13113295125137103,0.061442062571819854,0.06040987704901587,not_available,not_available,not_available,not_available
no_meta,ridge,results/tables/physics_ablation/debug_sensors_14_3000/no_meta/ridge,results/tables/physics_ablation/debug_sensors_14_3000/no_meta/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,86,not_available,0.009352313984452545,0.01007855683266064,0.07925378612804647,0.10039201578143872,0.0,0.05523038466869554,0.13314411913145532,0.061442062571819854,0.059952684663053334,not_available,not_available,not_available,not_available
physics_no_meta_core,ridge,results/tables/physics_ablation/debug_sensors_14_3000/physics_no_meta_core/ridge,results/tables/physics_ablation/debug_sensors_14_3000/physics_no_meta_core/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,86,not_available,0.009352313984452545,0.01007855683266064,0.07925378612804647,0.10039201578143872,0.0,0.05523038466869554,0.13314411913145532,0.061442062571819854,0.059952684663053334,not_available,not_available,not_available,not_available
full,elasticnet,results/tables/physics_ablation/debug_sensors_14_3000/full/elasticnet,results/tables/physics_ablation/debug_sensors_14_3000/full/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,92,not_available,0.009468238172409823,0.01004685373401297,0.07969936345489458,0.10023399490199406,0.0,0.056053496292423594,0.13274279519773488,0.061442062571819854,0.060318060394268236,not_available,not_available,not_available,not_available
no_meta,elasticnet,results/tables/physics_ablation/debug_sensors_14_3000/no_meta/elasticnet,results/tables/physics_ablation/debug_sensors_14_3000/no_meta/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,86,not_available,0.00951680275012385,0.010105454011082536,0.08002417792005063,0.10052588726831778,0.0,0.05626661409281781,0.13331817245141075,0.061442062571819854,0.0603177121550973,not_available,not_available,not_available,not_available
physics_no_meta_core,elasticnet,results/tables/physics_ablation/debug_sensors_14_3000/physics_no_meta_core/elasticnet,results/tables/physics_ablation/debug_sensors_14_3000/physics_no_meta_core/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,86,not_available,0.00951680275012385,0.010105454011082536,0.08002417792005063,0.10052588726831778,0.0,0.05626661409281781,0.13331817245141075,0.061442062571819854,0.0603177121550973,not_available,not_available,not_available,not_available
response_frequency,ridge,results/tables/physics_ablation/debug_sensors_14_3000/response_frequency/ridge,results/tables/physics_ablation/debug_sensors_14_3000/response_frequency/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,75,not_available,0.009647130207112057,0.010302671676129707,0.08090563979772611,0.10150207720105883,0.0,0.05720000706483128,0.13408314025259832,0.061442062571819854,0.0608369954950316,not_available,not_available,not_available,not_available
response_frequency,elasticnet,results/tables/physics_ablation/debug_sensors_14_3000/response_frequency/elasticnet,results/tables/physics_ablation/debug_sensors_14_3000/response_frequency/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,75,not_available,0.009653523086198334,0.010251625845727357,0.08096110015940854,0.10125031281792346,0.0,0.057358772947087154,0.1339068612032646,0.061442062571819854,0.06080794998284479,not_available,not_available,not_available,not_available
response_correlation,ridge,results/tables/physics_ablation/debug_sensors_14_3000/response_correlation/ridge,results/tables/physics_ablation/debug_sensors_14_3000/response_correlation/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.1,not_applicable,clipped,not_applicable,59,not_available,0.009767742366170614,0.010298255892372682,0.08134651335647937,0.10148032268559595,0.0,0.0577766086613512,0.1342195428077128,0.061442062571819854,0.06100105338784461,not_available,not_available,not_available,not_available
response_spatial,ridge,results/tables/physics_ablation/debug_sensors_14_3000/response_spatial/ridge,results/tables/physics_ablation/debug_sensors_14_3000/response_spatial/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.1,not_applicable,clipped,not_applicable,64,not_available,0.009796631130806695,0.010410652682491436,0.08163099926446446,0.10203260597716514,0.0,0.057873889281610476,0.13492397571248824,0.061442062571819854,0.06081885621801004,not_available,not_available,not_available,not_available
response_correlation,elasticnet,results/tables/physics_ablation/debug_sensors_14_3000/response_correlation/elasticnet,results/tables/physics_ablation/debug_sensors_14_3000/response_correlation/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,59,not_available,0.00980442905965782,0.010342341981893743,0.08174175974975008,0.10169730567666846,0.0,0.05813944608994335,0.13468749039201927,0.061442062571819854,0.06097767339239509,not_available,not_available,not_available,not_available
response_spatial,elasticnet,results/tables/physics_ablation/debug_sensors_14_3000/response_spatial/elasticnet,results/tables/physics_ablation/debug_sensors_14_3000/response_spatial/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,64,not_available,0.009816688744801646,0.010398550303749067,0.0817900458094386,0.10197328230349882,0.0,0.058044206257079324,0.1350577399404067,0.061442062571819854,0.06077122175107885,not_available,not_available,not_available,not_available
response_basic_only,ridge,results/tables/physics_ablation/debug_sensors_14_3000/response_basic_only/ridge,results/tables/physics_ablation/debug_sensors_14_3000/response_basic_only/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.1,not_applicable,clipped,not_applicable,52,not_available,0.009878373174762539,0.01049257192010907,0.08230389435782816,0.10243325592847798,0.0,0.058507133463359756,0.13568581744541944,0.061442062571819854,0.061016534499344424,not_available,not_available,not_available,not_available
response_basic_only,elasticnet,results/tables/physics_ablation/debug_sensors_14_3000/response_basic_only/elasticnet,results/tables/physics_ablation/debug_sensors_14_3000/response_basic_only/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,52,not_available,0.00989900574788893,0.010493866594523085,0.08250285192320803,0.10243957533357449,0.0,0.05870949268127162,0.13587714427674102,0.061442062571819854,0.06098369006376515,not_available,not_available,not_available,not_available
