seed,metric,78d_ridge,78d_svr,92d_ridge,92d_svr,information_effect_under_ridge,information_effect_under_svr,model_effect_on_78d,model_effect_on_92d,interaction_difference_in_differences,information_improvement_ridge_percent,information_improvement_svr_percent,model_improvement_78d_percent,model_improvement_92d_percent
0,test_mae,0.0444651401880119,0.0315460560625787,0.03849129488623357,0.0230664048418678,-0.00597384530177833,-0.008479651220710902,-0.012919084125433196,-0.015424890044365768,-0.0025058059189325722,13.4348959128862,26.880226180697854,29.054409973312683,40.073710406356035
0,test_rmse,0.0634822831578089,0.0496016012490143,0.05734173987867664,0.0400100181666762,-0.006140543279132264,-0.009591583082338095,-0.013880681908794608,-0.01733172171200044,-0.003451039803205831,9.672845672339244,19.33724484857977,21.8654421648462,30.22531536132459
0,damaged_entry_mae,0.069898241228212,0.0521206054712881,0.061102224917711764,0.0397204913649279,-0.00879601631050024,-0.012400114106360202,-0.017777635756923905,-0.021381733552783867,-0.003604097795859962,12.58403095119657,23.79119351019647,25.433595244380168,34.99337967083736
0,zero_damage_mae,0.0331274927363564,0.0223742689767685,0.028411723667381858,0.0156422939821904,-0.004715769068974543,-0.006731974994578099,-0.010753223759587902,-0.012769429685191458,-0.0020162059256035557,14.235212747625575,30.088022100601357,32.46011959059785,44.944227371363006
0,high_damage_mae,0.093500657467697,0.066538033196789,0.08139895812221101,0.0488316905710271,-0.01210169934548598,-0.0177063426257619,-0.026962624270907995,-0.032567267551183915,-0.00560464328027592,12.942902941262128,26.61085964683485,28.83682853270113,40.00944029564601
0,high_damage_abs_bias,0.0799782953653958,0.0530844858359839,0.06475467508870501,0.029918554261052,-0.015223620276690789,-0.0231659315749319,-0.0268938095294119,-0.034836120827653014,-0.007942311298241113,19.03468960814785,43.63973995435898,33.62638501676299,53.79707454316204
0,high_damage_underestimation_ratio,0.8669064748201439,0.7841726618705036,0.8129496402877698,0.6654676258992805,-0.0539568345323741,-0.11870503597122306,-0.08273381294964033,-0.1474820143884893,-0.06474820143884896,6.224066390041493,15.137614678899086,9.543568464730294,18.14159292035399
1,test_mae,0.0455705820486931,0.0306663031005401,0.03953877101737332,0.0226306011940377,-0.006031811031319778,-0.0080357019065024,-0.014904278948152997,-0.01690816982333562,-0.002003890875182622,13.236194843582785,26.203686437707173,32.70592184279646,42.76351891642302
1,test_rmse,0.0639546154199501,0.0486663244027147,0.058246557449423746,0.0381176542027824,-0.005708057970526349,-0.010548670199932296,-0.015288291017235396,-0.020128903246641343,-0.004840612229405947,8.925169720817006,21.675502165813597,23.90490649790749,34.5580994449664
1,damaged_entry_mae,0.0715668997060333,0.0464707393582054,0.06236036605842474,0.0361981508846413,-0.009206533647608567,-0.010272588473564097,-0.025096160347827905,-0.026162215173783435,-0.00106605482595553,12.864234283481792,22.10549824564014,35.06671443210809,41.953273893986356
