metric,effect,definition,n_seeds,mean_effect,std_effect,ci95_low,ci95_high,negative_seeds,positive_seeds,mean_relative_improvement_percent,one_sample_t_statistic,one_sample_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
high_damage_abs_bias,information_effect_under_ridge,92D_Ridge_minus_78D_Ridge,10,-0.01444921613712507,0.002219569733636916,-0.01603700067436571,-0.012861431599884433,10,0,17.41350742380379,-20.586167086764554,7.0363944796154235e-09,0.0,0.001953125
high_damage_abs_bias,information_effect_under_svr,92D_SVR_minus_78D_SVR,10,-0.020415165632200402,0.005309674187580206,-0.02421347773074008,-0.016616853533660724,10,0,42.608880329581766,-12.158640987492682,6.884366300753313e-07,0.0,0.001953125
high_damage_abs_bias,model_effect_on_78d,78D_SVR_minus_78D_Ridge,10,-0.035371393699780665,0.00743200736415157,-0.04068793149295133,-0.030054855906610004,10,0,42.71529147091899,-15.050330634138993,1.0957512946017311e-07,0.0,0.001953125
high_damage_abs_bias,model_effect_on_92d,92D_SVR_minus_92D_Ridge,10,-0.04133734319485599,0.0032147754782955594,-0.043637055034399866,-0.039037631355312116,10,0,60.575191234611836,-40.6622975067338,1.6386970003338527e-11,0.0,0.001953125
high_damage_abs_bias,interaction_difference_in_differences,(92D_SVR-78D_SVR)-(92D_Ridge-78D_Ridge),10,-0.005965949495075329,0.006815768563132782,-0.010841656606210118,-0.001090242383940539,8,2,,-2.76799140628361,0.021825069130772597,6.0,0.02734375
high_damage_underestimation_ratio,information_effect_under_ridge,92D_Ridge_minus_78D_Ridge,10,-0.057021571953673765,0.02517496136761232,-0.07503065442553992,-0.039012489481807605,10,0,6.4945120275265165,-7.162594631377118,5.293451703534818e-05,0.0,0.001953125
high_damage_underestimation_ratio,information_effect_under_svr,92D_SVR_minus_78D_SVR,10,-0.09533942642550491,0.031638516797063455,-0.11797225791095313,-0.0727065949400567,10,0,12.44239215452316,-9.529199496059308,5.337656524426695e-06,0.0,0.001953125
high_damage_underestimation_ratio,model_effect_on_78d,78D_SVR_minus_78D_Ridge,10,-0.1132284300295013,0.03551547340987199,-0.13863466920207074,-0.08782219085693185,10,0,12.912238099699223,-10.081795352858876,3.343516084637334e-06,0.0,0.001953125
high_damage_underestimation_ratio,model_effect_on_92d,92D_SVR_minus_92D_Ridge,10,-0.1515462845013324,0.022180455125198884,-0.16741322625271585,-0.13567934274994894,10,0,18.526426170367493,-21.606023287395814,4.589505179876421e-09,0.0,0.001953125
high_damage_underestimation_ratio,interaction_difference_in_differences,(92D_SVR-78D_SVR)-(92D_Ridge-78D_Ridge),10,-0.03831785447183115,0.047853979989286186,-0.07255052953534902,-0.00408517940831328,8,2,,-2.5321132162671374,0.032123795139041005,8.0,0.048828125
