metric,78D_Ridge,78D_SVR,92D_Ridge,92D_SVR
test_mae,0.04485829455702703,0.031450000610448225,0.03954549435827245,0.02310484788409254
test_rmse,0.06334034200229562,0.05011137003138625,0.05838378167538168,0.040123577059957914
damaged_entry_mae,0.07088887147865999,0.04937518731050435,0.06320261069316255,0.03780797720864486
zero_damage_mae,0.03351274320602219,0.02363563436509655,0.02923058397262024,0.016676466017088602
high_damage_mae,0.09471653851150405,0.06033738471601641,0.08408113141767172,0.04433463980469185
high_damage_abs_bias,0.08280379022791305,0.047432396528132394,0.06835457409078798,0.027017230895931988
high_damage_underestimation_ratio,0.8742895725141325,0.7610611424846312,0.8172680005604587,0.6657217160591263
