seed,model,damage_bin,n_entries,mae,rmse,bias,mean_true,mean_prediction,underestimation_ratio
0,rbf_svr,high,278,0.066538033196789,0.0888759229174193,-0.0530844858359839,0.2749521458256768,0.2218676599896928,0.7841726618705036
0,rbf_svr,low,105,0.0273015753671486,0.0349994513863053,-0.0081113246721728,0.0738380599432733,0.0657267352711005,0.5714285714285714
0,rbf_svr,medium,172,0.0439691708971335,0.0556844669006516,-0.0360183654992094,0.1526869483140915,0.1166685828148821,0.8255813953488372
0,rbf_svr,zero,1245,0.0223742689767685,0.0355193234533754,0.0223742689767685,0.0,0.0223742689767685,
0,ridge,high,278,0.093500657467697,0.1126131260988783,-0.0799782953653958,0.2749521458256768,0.194973850460281,0.8669064748201439
0,ridge,low,105,0.0280182200461975,0.0358307844964311,-0.0028295508249566,0.0738380599432733,0.0710085091183167,0.6095238095238096
0,ridge,medium,172,0.0573164418650417,0.069929791668311,-0.0476308519562314,0.1526869483140915,0.1050560963578601,0.8837209302325582
0,ridge,zero,1245,0.0331274927363564,0.047020199292102,0.0331274927363564,0.0,0.0331274927363564,
1,rbf_svr,high,268,0.0541436548462247,0.0739968030038155,-0.0393857825073635,0.2700001780262528,0.2306143955188894,0.7350746268656716
1,rbf_svr,low,108,0.0330701427888917,0.0472469902883929,-0.0012632550958462,0.0745221032801394,0.0732588481842931,0.5462962962962963
1,rbf_svr,medium,171,0.0429088860172503,0.0579752082287313,-0.0317952968051513,0.1506577508501173,0.118862454044966,0.7894736842105263
1,rbf_svr,zero,1253,0.0237668405044165,0.039750423199373,0.0237668405044165,0.0,0.0237668405044165,
1,ridge,high,268,0.0984500646981939,0.114756152582905,-0.0884942159814567,0.2700001780262528,0.1815059620447961,0.8955223880597015
1,ridge,low,108,0.036917896809645,0.0576947551433307,0.0043621327406561,0.0745221032801394,0.0788842360207955,0.4907407407407407
1,ridge,medium,171,0.0513178008458631,0.06235086750158,-0.0443504076711041,0.1506577508501173,0.1063073431790131,0.8830409356725146
1,ridge,zero,1253,0.0342218304456883,0.0473459961400641,0.0342218304456883,0.0,0.0342218304456883,
2,rbf_svr,high,274,0.0624776250946147,0.0830988670556793,-0.049054706967888,0.2754441227220762,0.2263894157541881,0.7627737226277372
2,rbf_svr,low,98,0.0248116024926684,0.0315500412358969,-0.0029504488047657,0.0752320998684876,0.0722816510637218,0.5306122448979592
