noise_level,noise_percent,feature_index,feature_name,n_replicates,signed_mean_delta_z_mean,signed_mean_delta_z_std,mean_abs_delta_z_mean,mean_abs_delta_z_std,median_abs_delta_z_mean,median_abs_delta_z_std,rms_delta_z_mean,rms_delta_z_std,p95_abs_delta_z_mean,p95_abs_delta_z_std,fraction_abs_delta_z_gt_1_mean,fraction_abs_delta_z_gt_1_std,fraction_abs_delta_z_gt_2_mean,fraction_abs_delta_z_gt_2_std,rank_by_mean_abs_shift
0.0,0,0,story_1_mean,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0,1,story_1_std,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0,2,story_1_max_abs,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0,3,story_1_rms,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,0,4,story_1_peak_to_peak,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0,5,story_1_crest_factor,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
0.0,0,6,story_2_mean,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
0.0,0,7,story_2_std,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
0.0,0,8,story_2_max_abs,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
0.0,0,9,story_2_rms,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
0.0,0,10,story_2_peak_to_peak,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0,11,story_2_crest_factor,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
