descriptor_set,n_features,selected_alpha,val_mse,val_mae,test_mae,test_rmse,test_bias,damaged_entry_mae,zero_damage_mae,high_damage_mae,high_damage_bias,high_damage_underestimation_ratio,mae_increase_vs_oracle_percent
oracle_full,92,0.01,0.0031305831963247604,0.03881167327229763,0.03933571505892584,0.05854806891498964,0.005671596892579017,0.0634314341956843,0.028594249901575688,0.08299357823036686,-0.06322210685861696,0.8138686131386861,0.0
legacy_no_meta,86,0.01,0.003522747183762565,0.04162564548694832,0.042457719638487074,0.061706303536575274,0.005036073959164668,0.0696519575149201,0.03033498709116152,0.09167221244261302,-0.07380525445344854,0.8540145985401459,7.936819185527452
signal_derived_with_ground,78,0.01,0.003770757617468498,0.043928209952899935,0.04520968936461003,0.06443100674016297,0.00579835425634247,0.07249243225549712,0.03304750277469651,0.09621695398985868,-0.07994372020336796,0.8722627737226277,14.932928756690547
structural_response_only,59,0.01,0.0051968009948308745,0.05289613452339108,0.053457914431307256,0.07389586654307344,0.004020392964358103,0.08565871797327945,0.03910333935837989,0.12047856045570936,-0.1134494087959983,0.9306569343065694,35.90172277592013
