sensor_count,n_layouts,mae_point,mae_bootstrap_mean,mae_bootstrap_sd,mae_ci_lower,mae_ci_upper,high_mae_point,high_mae_bootstrap_mean,high_mae_bootstrap_sd,high_mae_ci_lower,high_mae_ci_upper,n_layouts_placement,best_layout,worst_layout,best_test_mae,worst_test_mae,absolute_placement_spread,relative_placement_spread_percent,high_mae_spread
1,4,0.073374416612752,0.0734045865524826,0.0015554970044533,0.0703695921097456,0.0764760960424182,0.2187050540147336,0.2187366647729314,0.0027686184222229,0.2134540075113424,0.2240879001868919,4,1,4,0.0712681232439257,0.0755871483702163,0.0043190251262905,6.0602481582236205,0.0215079435130932
2,6,0.0581866466740272,0.0582029775434944,0.0012562223335673,0.0557581131602212,0.0606744927338206,0.1455292987906027,0.1455284653132158,0.0030433024230535,0.1395322717524986,0.1515807283752513,6,12,24,0.0545806983047183,0.0637990530029683,0.0092183546982499,16.889404101766576,0.0233490343983496
3,4,0.0400412846674576,0.040051544212165,0.0009533364437821,0.0382065753797314,0.0419538485561676,0.0840897274746074,0.0840730746343625,0.0028300539259582,0.0786434554710419,0.0895532938999303,4,123,124,0.0345617621714158,0.0433470681713057,0.0087853059998898,25.4191495107147,0.0073047362885051
4,1,0.0220471400890294,0.0220551652387177,0.0007758273757504,0.0206004276854039,0.0236043874294489,0.0367799555778243,0.0367539896581561,0.0023457138669109,0.0322723251042781,0.0414528974319222,1,1234,1234,0.0220471400890294,0.0220471400890294,0.0,0.0,0.0
