model,selected_candidate,selected_parameters_json,n_candidates,val_mse,val_mae,test_mae,test_rmse,test_bias,damaged_entry_mae,zero_damage_mae,high_damage_mae,high_damage_bias,high_damage_underestimation_ratio,family_total_seconds,test_mae_change_vs_ridge_percent,high_damage_mae_change_vs_ridge_percent,high_damage_bias_change_vs_ridge,high_damage_underestimation_change_vs_ridge_percentage_points
rbf_svr,rbf_svr_C_100_gamma_0p01_eps_0.03,"{""C"": 100.0, ""epsilon"": 0.03, ""gamma"": 0.01, ""kernel"": ""rbf""}",24,0.0028005556048304268,0.03258004271511441,0.033205184322101435,0.05330744243237709,0.0048908559806421495,0.052087187733674156,0.02478790569284612,0.06323028403396597,-0.05132167913884508,0.7591240875912408,52.11480770795606,-26.364082354559603,-33.6238724992009,0.02698464785828833,-10.21897810218978
ridge,ridge_alpha_0.0003,"{""alpha"": 0.0003}",15,0.00375472334056629,0.04382235062874399,0.04509373330822819,0.06440124982158656,0.006105362199372817,0.07214731851645143,0.033033701347935894,0.09526057999271612,-0.07830632699713341,0.8613138686131386,0.018964000046253204,0.0,0.0,0.0,0.0
hist_gradient_boosting,hist_gradient_boosting_lr_0.1_leaf_31_l2_0,"{""early_stopping"": false, ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 300, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20, ""random_state"": 42}",18,0.004591026287186371,0.0477180060968267,0.048640005119137415,0.06974277426920654,-0.0013838321729948825,0.08516177508393671,0.03235921609868472,0.11360110255437811,-0.11180245461195042,0.9525547445255474,51.87782162503572,7.864223143090577,19.253003249680358,-0.033496127614817,9.124087591240881
elasticnet,elasticnet_alpha_0.0005_l1_0.1,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 20000}",20,0.004743948740393154,0.05114468915889764,0.05174476107490364,0.07019290787780778,0.0028515956755513164,0.0847956163869941,0.03701124726108017,0.12013492969945827,-0.10969010440389737,0.9379562043795621,7.0691861669765785,14.74933938428612,26.111902435030437,-0.03138377740676396,7.664233576642343
random_forest,random_forest_n_300_depth_none_leaf_1,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300, ""n_jobs"": 1, ""random_state"": 42}",12,0.006709126146471102,0.06248802156645826,0.06407361825811002,0.08426273247855325,-0.0022642258571359867,0.10988209206661732,0.04365297330732965,0.15884622142120927,-0.15865265487183236,0.9927007299270073,66.75216208299389,42.08985053454999,66.74916469473007,-0.08034632787469895,13.138686131386867
