model,damage_bin,n_entries,mae,rmse,bias,mean_true,mean_prediction,underestimation_ratio
elasticnet,zero,1245,0.03701124726108017,0.047616498275155635,0.03701124726108017,0.0,0.03701124726108017,
elasticnet,low,109,0.030061552677082073,0.042977294560688294,-0.011350561016782112,0.07410375794559845,0.06275319692881633,0.6422018348623854
elasticnet,medium,172,0.06318539020539658,0.07339626421361556,-0.056126923642763435,0.15220101448147777,0.09607409083871432,0.872093023255814
elasticnet,high,274,0.12013492969945827,0.13397295971694836,-0.10969010440389737,0.27861251285544286,0.16892240845154546,0.9379562043795621
hist_gradient_boosting,zero,1245,0.03235921609868472,0.04587879950823232,0.03235921609868472,0.0,0.03235921609868472,
hist_gradient_boosting,low,109,0.0415750179732936,0.05018700877092826,-0.01856891978338352,0.07410375794559845,0.05553483816221491,0.7064220183486238
hist_gradient_boosting,medium,172,0.06747910530579228,0.07927852585214966,-0.058838587989477026,0.15220101448147777,0.09336242649200076,0.8604651162790697
hist_gradient_boosting,high,274,0.11360110255437811,0.13206895814737132,-0.11180245461195042,0.27861251285544286,0.1668100582434924,0.9525547445255474
random_forest,zero,1245,0.04365297330732965,0.05059774755586455,0.04365297330732965,0.0,0.04365297330732965,
random_forest,low,109,0.03443023883409691,0.041082727815703476,-0.018960082998538706,0.07410375794559845,0.05514367494705973,0.6972477064220184
random_forest,medium,172,0.07969651392235293,0.08857719524689214,-0.07491908039969424,0.15220101448147777,0.07728193408178355,0.9302325581395349
random_forest,high,274,0.15884622142120927,0.17150623848988739,-0.15865265487183236,0.27861251285544286,0.11995985798361045,0.9927007299270073
rbf_svr,zero,1245,0.02478790569284612,0.042172443287648895,0.02478790569284612,0.0,0.02478790569284612,
rbf_svr,low,109,0.03349672582756321,0.04225914150307903,-0.014195015210586645,0.07410375794559845,0.0599087427350118,0.7064220183486238
rbf_svr,medium,172,0.04611714099812846,0.058734998876168426,-0.03748840163046541,0.15220101448147777,0.11471261285101239,0.8372093023255814
rbf_svr,high,274,0.06323028403396597,0.08781112313800936,-0.05132167913884508,0.27861251285544286,0.22729083371659778,0.7591240875912408
ridge,zero,1245,0.033033701347935894,0.046303846813186875,0.033033701347935894,0.0,0.033033701347935894,
ridge,low,109,0.03538607479740621,0.05616444575865145,-0.005684578457878832,0.07410375794559845,0.06841917948771961,0.6055045871559633
ridge,medium,172,0.05862372503319215,0.07061172674775697,-0.046870660291777735,0.15220101448147777,0.10533035418970003,0.813953488372093
ridge,high,274,0.09526057999271612,0.1145408313370904,-0.07830632699713341,0.27861251285544286,0.2003061858583094,0.8613138686131386
