rank_by_mean_test_mae,feature_set,model,n_runs,test_mae_mean,test_mae_std,test_mae_min,test_mae_max,test_rmse_mean,test_rmse_std,best_val_mse_mean,mean_true_damage,mean_pred_damage,bias_mean,mae_damaged_mean,mae_high_damage_mean,mean_zero_pred,test_mae_cv_pct
1,full,ridge,10,0.04542610300381087,0.0008648713778235,0.04415745530759549,0.046708668483327574,0.06208464085954901,0.0012123669606086066,0.0039464682326814295,0.06045968860718205,0.06068304529329842,0.0002233566861163756,0.06418377409367984,0.07875470171896762,0.021456318486511285,1.9039083712528557
2,no_meta,ridge,10,0.049016088100312896,0.0007361162093865261,0.047951139064662814,0.049978684241053735,0.06516767369720793,0.0011054696081776365,0.004355463182173662,0.06045968860718205,0.06084917867304797,0.00038949006586591254,0.06864916945490221,0.0841060438290384,0.023783753113056007,1.5017848994396334
3,full,elasticnet,10,0.05727784358537863,0.000786501655119735,0.056283272453045805,0.058486209066530806,0.07412035873940331,0.0010763769768966655,0.005621560065722375,0.06045968860718205,0.06038518024442905,-7.450836275300607e-05,0.09134237592205893,0.11889845955769776,0.03679669488062368,1.3731341927134038
4,no_meta,elasticnet,10,0.0595767622916142,0.0007070928712338158,0.05846398410389306,0.06058585115307628,0.07663028285024821,0.0010079379393001502,0.005985787918134415,0.06045968860718205,0.060370431225434965,-8.925738174709084e-05,0.09490198226587024,0.12379580719423262,0.03821020867143198,1.186860185138566
5,full,random_forest,10,0.08141474182052535,0.0007425482690505888,0.08006116421407863,0.0826005708340665,0.10049707118308807,0.001265879750024569,0.010141233884932599,0.06045968860718205,0.059630896848013135,-0.000828791759168913,0.13575729831936525,0.18364446937090417,0.05771463325103896,0.9120562842138571
6,no_meta,random_forest,10,0.08141646324506188,0.0007441025357279256,0.08006081140145804,0.08260315942343467,0.10049837283267038,0.001268869846544837,0.010140937378251775,0.06045968860718205,0.05963040339313373,-0.0008292852140483099,0.1357618642306492,0.18364588516851055,0.05771509513114544,0.913946032620199
