sensor_count,n_layouts,mae_point,mae_bootstrap_mean,mae_bootstrap_sd,mae_ci_lower,mae_ci_upper,high_mae_point,high_mae_bootstrap_mean,high_mae_bootstrap_sd,high_mae_ci_lower,high_mae_ci_upper
1,4,0.07337441661275201,0.0734045865524826,0.0015554970044533247,0.07036959210974564,0.07647609604241823,0.21870505401473367,0.2187366647729314,0.0027686184222229073,0.21345400751134244,0.22408790018689198
2,6,0.05818664667402724,0.05820297754349445,0.0012562223335673647,0.05575811316022127,0.060674492733820605,0.1455292987906027,0.14552846531321584,0.0030433024230535274,0.1395322717524986,0.15158072837525138
3,4,0.04004128466745765,0.04005154421216504,0.0009533364437821838,0.03820657537973146,0.041953848556167676,0.08408972747460741,0.08407307463436259,0.002830053925958203,0.0786434554710419,0.0895532938999303
4,1,0.02204714008902948,0.022055165238717735,0.000775827375750486,0.020600427685403957,0.023604387429448984,0.036779955577824354,0.03675398965815613,0.0023457138669109126,0.032272325104278174,0.04145289743192228
