layout_tag,metric,actual,expected,abs_error,passed
1234,test_mae,0.02204714008902948,0.0220471400890294,7.979727989493313e-17,True
1234,test_high_mae,0.036779955577824354,0.0367799555778243,5.551115123125783e-17,True
1234,test_high_bias,-0.02133730479685522,-0.0213373047968552,1.734723475976807e-17,True
1234,test_high_underestimation,0.6824817518248175,0.6824817518248175,0.0,True
1,test_mae,0.07126812324392577,0.0712681232439257,6.938893903907228e-17,True
1,test_high_mae,0.20738754458586334,0.2073875445858633,2.7755575615628914e-17,True
1,test_high_bias,-0.2056673763041538,-0.2056673763041538,0.0,True
1,test_high_underestimation,0.9817518248175182,0.9817518248175182,0.0,True
2,test_mae,0.07361634765938962,0.0736163476593896,2.7755575615628914e-17,True
2,test_high_mae,0.21708750217234327,0.2170875021723432,5.551115123125783e-17,True
2,test_high_bias,-0.21708750217234327,-0.2170875021723432,5.551115123125783e-17,True
2,test_high_underestimation,1.0,1.0,0.0,True
3,test_mae,0.07302604717747635,0.0730260471774763,5.551115123125783e-17,True
3,test_high_mae,0.22144968120177155,0.2214496812017715,5.551115123125783e-17,True
3,test_high_bias,-0.22075076314114864,-0.2207507631411486,2.7755575615628914e-17,True
3,test_high_underestimation,0.9927007299270073,0.9927007299270072,1.1102230246251565e-16,True
4,test_mae,0.07558714837021632,0.0755871483702163,2.7755575615628914e-17,True
4,test_high_mae,0.22889548809895657,0.2288954880989566,2.7755575615628914e-17,True
4,test_high_bias,-0.2288708081669854,-0.2288708081669854,0.0,True
4,test_high_underestimation,0.9963503649635036,0.9963503649635036,0.0,True
12,test_mae,0.05458069830471836,0.0545806983047183,5.551115123125783e-17,True
12,test_high_mae,0.13915042758680643,0.1391504275868064,2.7755575615628914e-17,True
12,test_high_bias,-0.13576880379676978,-0.1357688037967697,8.326672684688674e-17,True
12,test_high_underestimation,0.9379562043795621,0.937956204379562,1.1102230246251565e-16,True
13,test_mae,0.05756051523977867,0.0575605152397786,6.938893903907228e-17,True
13,test_high_mae,0.1382463744515593,0.1382463744515593,0.0,True
13,test_high_bias,-0.13136220841155571,-0.1313622084115557,2.7755575615628914e-17,True
13,test_high_underestimation,0.8978102189781022,0.8978102189781022,0.0,True
14,test_mae,0.05981580876897291,0.0598158087689729,1.3877787807814457e-17,True
14,test_high_mae,0.14774960312363647,0.1477496031236364,5.551115123125783e-17,True
14,test_high_bias,-0.14108385643161733,-0.1410838564316173,2.7755575615628914e-17,True
14,test_high_underestimation,0.927007299270073,0.927007299270073,0.0,True
23,test_mae,0.055833320095416646,0.0558333200954166,4.85722573273506e-17,True
23,test_high_mae,0.1461416956185785,0.1461416956185785,0.0,True
23,test_high_bias,-0.14330857599699479,-0.1433085759969947,8.326672684688674e-17,True
23,test_high_underestimation,0.9708029197080292,0.9708029197080292,0.0,True
24,test_mae,0.06379905300296829,0.0637990530029683,1.3877787807814457e-17,True
24,test_high_mae,0.16159540884990894,0.1615954088499089,5.551115123125783e-17,True
24,test_high_bias,-0.16143513812224244,-0.1614351381222424,5.551115123125783e-17,True
24,test_high_underestimation,0.9854014598540146,0.9854014598540146,0.0,True
34,test_mae,0.057530484632308566,0.0575304846323085,6.938893903907228e-17,True
34,test_high_mae,0.14029228311312641,0.1402922831131264,2.7755575615628914e-17,True
34,test_high_bias,-0.13339524518552887,-0.1333952451855288,5.551115123125783e-17,True
34,test_high_underestimation,0.9379562043795621,0.937956204379562,1.1102230246251565e-16,True
123,test_mae,0.03456176217141588,0.0345617621714158,7.632783294297951e-17,True
123,test_high_mae,0.078976520761429,0.078976520761429,0.0,True
123,test_high_bias,-0.06763626842676959,-0.0676362684267695,9.71445146547012e-17,True
123,test_high_underestimation,0.7883211678832117,0.7883211678832117,0.0,True
124,test_mae,0.043347068171305715,0.0433470681713057,1.3877787807814457e-17,True
124,test_high_mae,0.08512995381160166,0.0851299538116016,5.551115123125783e-17,True
124,test_high_bias,-0.07533354304789244,-0.0753335430478924,4.163336342344337e-17,True
124,test_high_underestimation,0.8065693430656934,0.8065693430656934,0.0,True
134,test_mae,0.04104910181870265,0.0410491018187026,4.85722573273506e-17,True
134,test_high_mae,0.08628125704993415,0.0862812570499341,5.551115123125783e-17,True
134,test_high_bias,-0.07369682522587119,-0.0736968252258711,9.71445146547012e-17,True
134,test_high_underestimation,0.8357664233576643,0.8357664233576643,0.0,True
234,test_mae,0.04120720650840635,0.0412072065084063,4.85722573273506e-17,True
234,test_high_mae,0.08597117827546484,0.0859711782754648,4.163336342344337e-17,True
234,test_high_bias,-0.07823325655400408,-0.078233256554004,8.326672684688674e-17,True
234,test_high_underestimation,0.843065693430657,0.843065693430657,0.0,True
