layout_tag,sensor_count,feature_count,mae_point,mae_bootstrap_mean,mae_bootstrap_sd,mae_ci_lower,mae_ci_upper,high_mae_point,high_mae_bootstrap_mean,high_mae_bootstrap_sd,high_mae_ci_lower,high_mae_ci_upper,high_bias_point,high_bias_bootstrap_mean,high_bias_bootstrap_sd,high_bias_ci_lower,high_bias_ci_upper,high_underestimation_point,high_underestimation_bootstrap_mean,high_underestimation_bootstrap_sd,high_underestimation_ci_lower,high_underestimation_ci_upper
1234,4,78,0.02204714008902948,0.022055165238717735,0.000775827375750486,0.020600427685403957,0.023604387429448984,0.036779955577824354,0.03675398965815613,0.0023457138669109126,0.032272325104278174,0.04145289743192228,-0.02133730479685522,-0.021357692251529902,0.0029828723695396755,-0.02727766330797743,-0.015488030777720109,0.6824817518248175,0.6828893027127159,0.02919002554080385,0.6249887184115523,0.7378277153558053
1,1,19,0.07126812324392577,0.07131665638131056,0.001651203825449428,0.06801334552332974,0.07450265713189995,0.20738754458586334,0.20748079594319233,0.003655858526183442,0.20012734117881267,0.21462126566299428,-0.2056673763041538,-0.2057671994999786,0.0041611274977301676,-0.2136069323833503,-0.19715798333668602,0.9817518248175182,0.9818647325349048,0.009399963783699677,0.9615350877192983,0.9964788732394366
2,1,17,0.07361634765938962,0.07364049354639102,0.0017086240144207386,0.07028817836767931,0.07696703633854819,0.21708750217234327,0.21711856411903888,0.0033076020547667096,0.21054461162922886,0.2236762979715178,-0.21708750217234327,-0.21711856411903888,0.0033076020547667096,-0.2236762979715178,-0.21054461162922886,1.0,1.0,0.0,1.0,1.0
3,1,17,0.07302604717747635,0.07304749603682441,0.0015552552443306978,0.07003721468663651,0.07610935504546255,0.22144968120177155,0.22143829725784436,0.0033403820634742673,0.21486935771866555,0.22798044320157396,-0.22075076314114864,-0.22073543490734018,0.0035091289846211076,-0.2275306124336736,-0.21372061643471477,0.9927007299270073,0.9927005527699359,0.005064444670194349,0.981203007518797,1.0
4,1,17,0.07558714837021632,0.07561370024540447,0.0015991357344330012,0.07248672630961259,0.07883033744556332,0.22889548809895657,0.22890900177165016,0.002999643977073483,0.2230764583964674,0.2348148323383379,-0.2288708081669854,-0.22888439339953592,0.0030060417237893883,-0.2347916843655999,-0.22304450500985468,0.9963503649635036,0.9963609471385847,0.0035820642835326906,0.9884158660321452,1.0
12,2,36,0.05458069830471836,0.05461575638095828,0.0014944177486048808,0.051677284187607433,0.05754849996290682,0.13915042758680643,0.13916576606726866,0.0050190302289947605,0.12936835356107299,0.14889971895280876,-0.13576880379676978,-0.13583037516747934,0.005317884444762522,-0.14597361353161256,-0.12544897877457398,0.9379562043795621,0.9384560286603031,0.01405816646406576,0.909433620453924,0.965034965034965
13,2,31,0.05756051523977867,0.05756218511078172,0.0015742092189379,0.054512755117776146,0.060720689565044124,0.1382463744515593,0.13825936592509225,0.004870519743211554,0.12867994357067242,0.1475982443640228,-0.13136220841155571,-0.13138207817708594,0.005534003286077613,-0.14201550379874808,-0.12053283295860029,0.8978102189781022,0.8982003002637267,0.018973748207922973,0.8596448228414173,0.93361465727876
14,2,31,0.05981580876897291,0.059845463075726454,0.001613596601884707,0.056715463015889804,0.06304153208379536,0.14774960312363647,0.1477944403281007,0.004721726588366163,0.1385235664114975,0.1571539967003973,-0.14108385643161733,-0.14114429023150765,0.0054566297044963226,-0.15168379784142125,-0.1305116020251891,0.927007299270073,0.9274056982923805,0.016096486065705674,0.8933320158102767,0.9566787003610109
23,2,34,0.055833320095416646,0.055830395879861064,0.0015256972959198747,0.05283637396721111,0.058783101743256655,0.1461416956185785,0.14608986674622323,0.004787796250972001,0.13672480546444826,0.15543879114877143,-0.14330857599699479,-0.1432577273371085,0.005177334258570081,-0.1533218825088648,-0.1330180436733218,0.9708029197080292,0.9706934232466369,0.010197205096961834,0.9487179487179487,0.9889705882352942
24,2,29,0.06379905300296829,0.06381899312574844,0.001585568350532971,0.060719243031062624,0.0668556755902867,0.16159540884990894,0.16160320424005012,0.004254348486375904,0.15323793247477077,0.1698765077619129,-0.16143513812224244,-0.16144198520989053,0.004286360123036257,-0.16980421073377464,-0.15305030371732484,0.9854014598540146,0.985396189431023,0.0073610493785502586,0.9694656488549618,0.9965986394557823
