from_sensor_count,to_sensor_count,mae_improvement_point,mae_improvement_percent_point,mae_ci_lower,mae_ci_upper,mae_bootstrap_positive_fraction,high_mae_improvement_point,high_mae_improvement_percent_point,high_mae_ci_lower,high_mae_ci_upper,high_mae_bootstrap_positive_fraction
1,2,0.015187769938724775,20.698999242312528,0.013708992589699273,0.016735748380639112,1.0,0.07317575522413097,33.458648476958054,0.06891840525012718,0.07771173785458385,1.0
2,3,0.01814536200656959,31.18475293519386,0.01681520412716927,0.01946421800563595,1.0,0.061439571315995284,42.21800821317682,0.05801212386074588,0.06487566291654881,1.0
3,4,0.017994144578428167,44.93897917579145,0.016534653161281762,0.01942979729444103,1.0,0.04730977189678306,56.261059843569114,0.043086870513934214,0.05158130789548989,1.0
