sensor_count,layout_tag,feature_count,mae_best_fraction,high_mae_best_fraction
1,1,19,0.9634,0.9972
1,3,17,0.0318,0.0
1,2,17,0.0048,0.0028
1,4,17,0.0,0.0
2,12,36,0.7518,0.31
2,23,34,0.2174,0.0318
2,34,34,0.0236,0.2908
2,13,31,0.0072,0.3674
2,14,31,0.0,0.0
2,24,29,0.0,0.0
3,123,53,1.0,0.7948
3,124,48,0.0,0.0272
3,134,48,0.0,0.0814
3,234,51,0.0,0.0966
