base_layout,base_sensor_count,added_sensor,augmented_layout,base_feature_count,augmented_feature_count,feature_gain,mae_improvement_point,mae_relative_improvement_percent_point,mae_ci_lower,mae_ci_upper,mae_ci_entirely_positive,mae_bootstrap_positive_fraction,high_mae_improvement_point,high_mae_relative_improvement_percent_point,high_mae_ci_lower,high_mae_ci_upper,high_mae_ci_entirely_positive,high_mae_bootstrap_positive_fraction
1,1,2,12,19,36,17,0.016687424939207413,23.414991415014835,0.014446158266015623,0.018932802085779427,True,1.0,0.06823711699905691,32.903189598643,0.06055817556065949,0.07618179908597712,True,1.0
1,1,3,13,19,31,12,0.013707608004147102,19.233855727098035,0.011282443151171622,0.016264365378224083,True,1.0,0.06914117013430404,33.339114107538876,0.061128762105802176,0.07757802922513693,True,1.0
1,1,4,14,19,31,12,0.01145231447495286,16.069336406903275,0.009248431375256697,0.013725521401966808,True,1.0,0.05963794146222687,28.75676144453089,0.052555209720278676,0.06702394724641866,True,1.0
2,1,1,12,17,36,19,0.019035649354671266,25.85791058630889,0.01667891936678309,0.021444153030829163,True,1.0,0.07793707458553684,35.901225913808474,0.0685195142118621,0.08773162078468479,True,1.0
2,1,3,23,17,34,17,0.01778302756397298,24.156356745993477,0.015507278688558446,0.020152263159832286,True,1.0,0.07094580655376476,32.68074202514049,0.0637171617392826,0.07875067597683656,True,1.0
2,1,4,24,17,29,12,0.009817294656421338,13.33575349573752,0.00768706119302546,0.012041131394620921,True,1.0,0.05549209332243432,25.56208568763198,0.04936674785095854,0.06171982404653143,True,1.0
3,1,1,13,17,31,14,0.015465531937697681,21.17810361570243,0.012834650109358886,0.01821544353370246,True,1.0,0.08320330675021226,37.57210500312368,0.07470117563541402,0.09239812389119022,True,1.0
3,1,2,23,17,34,17,0.017192727082059704,23.543280441122537,0.015100083651215448,0.019367019275432735,True,1.0,0.07530798558319304,34.00681598388799,0.06689256518079417,0.08416376972390073,True,1.0
3,1,4,34,17,34,17,0.015495562545167783,21.21922676097841,0.01290286571218216,0.018058094340998528,True,1.0,0.08115739808864514,36.648234329449956,0.07203433499479872,0.09026528814514329,True,1.0
4,1,1,14,17,31,14,0.01577133960124341,20.86510728516623,0.01317796675438289,0.01847871907058947,True,1.0,0.0811458849753201,35.451063561479614,0.07234244219727101,0.08990553359420443,True,1.0
4,1,2,24,17,29,12,0.011788095367248036,15.595369876253873,0.009839595128984005,0.013814579529116057,True,1.0,0.06730007924904763,29.402099538088024,0.06028354553949589,0.0744053549153957,True,1.0
4,1,3,34,17,34,17,0.018056663737907756,23.88853677806245,0.015336260920021303,0.020793640442178928,True,1.0,0.08860320498583016,38.7090220614244,0.07819378500331853,0.09879674868116006,True,1.0
12,2,3,123,36,53,17,0.02001893613330248,36.67768415409206,0.01766672659790494,0.022583912840498734,True,1.0,0.06017390682537743,43.24378147371416,0.05272433095350086,0.0681825132066271,True,1.0
12,2,4,124,36,48,12,0.011233630133412643,20.581690015573738,0.008866251018315556,0.013659071438711184,True,1.0,0.054020473775204775,38.8216369234691,0.047034128700986985,0.06108487840081498,True,1.0
13,2,2,123,31,53,22,0.02299875306836279,39.95578040355851,0.020539508896358482,0.025476844099804944,True,1.0,0.0592698536901303,42.87262789007035,0.050774757358474226,0.06813652459584342,True,1.0
13,2,4,134,31,48,17,0.016511413421076017,28.685312062087625,0.014080665795601846,0.018838706515324478,True,1.0,0.05196511740162514,37.588774105489044,0.043681899373070154,0.06042220177180389,True,1.0
14,2,2,124,31,48,17,0.016468740597667196,27.532421506285313,0.013997868758238682,0.01889965332986882,True,1.0,0.06261964931203481,42.38227919951491,0.05510157027730942,0.07041757439013685,True,1.0
14,2,3,134,31,48,17,0.01876670695027026,31.374158999927705,0.0162479005487277,0.021374949191904937,True,1.0,0.061468346073702315,41.60305325643803,0.05265546981777829,0.07056388795463299,True,1.0
23,2,1,123,34,53,19,0.021271557924000768,38.09832173270124,0.01879993659379234,0.023833500607775976,True,1.0,0.06716517485714951,45.95894044670645,0.05848082402401187,0.07605581176485862,True,1.0
23,2,4,234,34,51,17,0.014626113587010298,26.19603054594447,0.012394177666201382,0.016878695079708583,True,1.0,0.06017051734311367,41.17272424439038,0.05236287369340804,0.06808260371067246,True,1.0
24,2,1,124,29,48,19,0.02045198483166257,32.056878384560086,0.01773789029472532,0.023199461961609685,True,1.0,0.07646545503830729,47.3190764406735,0.06741035533923778,0.08543443483578435,True,1.0
24,2,3,234,29,51,22,0.02259184649456194,35.41094331527279,0.01984274225204712,0.02533711431586182,True,1.0,0.0756242305744441,46.7985019578647,0.06720326955535763,0.08400853604536523,True,1.0
34,2,1,134,34,48,14,0.016481382813605915,28.648086173691173,0.014008666348537244,0.019077416601834273,True,1.0,0.05401102606319226,38.49892871131038,0.04520468516883839,0.06323689020886884,True,1.0
34,2,2,234,34,51,17,0.01632327812390222,28.373267196041006,0.013691760367018744,0.01897470174949017,True,1.0,0.054321104837661574,38.71995211159197,0.04451413454284159,0.06399361581543858,True,1.0
123,3,4,1234,53,78,25,0.012514622082386396,36.20944447310776,0.01045107464550673,0.014536051763726875,True,1.0,0.042196565183604644,53.42925312077414,0.034146832204429475,0.050368999565540085,True,1.0
124,3,3,1234,48,78,30,0.021299928082276234,49.138105484089145,0.018897494257943237,0.023651822997668576,True,1.0,0.0483499982337773,56.79551799215011,0.04073331581999708,0.056012910388054005,True,1.0
134,3,2,1234,48,78,30,0.01900196172967317,46.29081000017292,0.016439049451896382,0.021597688234057718,True,1.0,0.0495013014721098,57.372021647136606,0.04191675521515119,0.057111755116620574,True,1.0
234,3,1,1234,51,78,27,0.019160066419376866,46.496882567053355,0.017030942394766022,0.021429587937787282,True,1.0,0.04919122269764049,57.21827208186476,0.041708756758153484,0.05703014672901354,True,1.0
