candidate_name,estimator,alpha,val_mse,val_mae,test_mae,test_rmse,test_bias,damaged_entry_mae,zero_damage_mae,high_damage_mae,high_damage_bias,high_damage_underestimation_ratio,coefficient_l2_norm,coefficient_max_abs,intercept_l2_norm,selected_by_validation,test_prediction_max_abs_difference_vs_ols,test_prediction_mean_abs_difference_vs_ols
ridge_alpha_1e-12,Ridge,1e-12,0.00515588611566748,0.05263943776226951,0.05346146043667927,0.07396603254578808,0.004242049413687053,0.0854487823331937,0.03920205188040176,0.11984033654616928,-0.11200456272070278,0.9306569343065694,16217.17277054444,8965.601089125172,0.12047503288129317,True,0.00023736367190063667,1.532625130261268e-05
ridge_alpha_1e-08,Ridge,1e-08,0.0051559942097991794,0.052640130371075664,0.05346159637850659,0.07396550649944704,0.004241083372217454,0.08545137035532457,0.03920109472619014,0.11984660043099718,-0.11201123766987149,0.9306569343065694,337.21123936238484,128.0702666278573,0.12047503287540397,False,0.0007293316697743468,1.8367983624464183e-05
ridge_alpha_1e-10,Ridge,1e-10,0.005155999188614891,0.052640014841658624,0.053462202131488806,0.0739667666359238,0.0042416264365244425,0.08545038751832626,0.039202408645790186,0.11984401392894216,-0.11200687169714968,0.9306569343065694,436.36600645354804,134.79599132834912,0.12047503287545044,False,8.134185085467704e-06,4.1608621976547697e-07
ordinary_least_squares,LinearRegression,,0.005156002422127339,0.052640028034767944,0.05346222807655983,0.07396679918076624,0.00424162479722525,0.08545041621030586,0.03920243336633569,0.1198440709806397,-0.11200688344331375,0.9306569343065694,341.22119259423886,129.58942775178647,0.1204750328754018,False,0.0,0.0
ridge_alpha_1e-07,Ridge,1e-07,0.005156139849021028,0.052641196369394794,0.05345752952923907,0.07395676015890795,0.004236536904933671,0.08546201276945775,0.03919047073540664,0.11986963325924263,-0.112047785633751,0.9306569343065694,305.3033253136112,116.12934666169345,0.12047503287541603,False,0.0065212844976755835,0.0001652853803951898
ridge_alpha_1e-06,Ridge,1e-06,0.005161257438235742,0.05265729995904702,0.053456515322020566,0.07394983045943701,0.004217074964792724,0.08554900589313934,0.039150224344533885,0.1200251461085081,-0.11224297081397117,0.9306569343065694,166.57259497510626,65.63191969333731,0.12047503287545269,False,0.03321734095442333,0.0008420566723262773
ridge_alpha_3e-06,Ridge,3e-06,0.00516786569780312,0.052680519915073554,0.05349147876634635,0.07397118778952644,0.0042359018632968145,0.08562376552677065,0.03916744731892828,0.12012174013344036,-0.11234843066189737,0.9306569343065694,95.51470631336262,38.407446198791845,0.12047503287545279,False,0.04814839340625146,0.001274987745017649
ridge_alpha_1e-05,Ridge,1e-05,0.005175499193242544,0.052705985702070676,0.05350982897973583,0.07400035341014972,0.004263764645520643,0.08565295140784927,0.03918096717443225,0.12015458565976085,-0.11237541536682213,0.9306569343065694,49.237194063279574,18.092134818083036,0.12047503287543063,False,0.07402074369221931,0.0016610188123842686
ridge_alpha_3e-05,Ridge,3e-05,0.005180995667888863,0.05273124439760194,0.05351692388056942,0.07402597625715912,0.004283675390180546,0.08565847384558989,0.03918876305278919,0.12015661793734753,-0.11235164711885104,0.9306569343065694,25.13931034616872,7.6668358690239495,0.12047503287540565,False,0.0955132550724602,0.0019497726394559888
ridge_alpha_1e-04,Ridge,0.0001,0.005184519577492911,0.05276295209688488,0.053511732289842816,0.07404336306405598,0.004288429972729882,0.08565435863932332,0.039183091628026204,0.12016887241314843,-0.11233199191880383,0.9306569343065694,11.842954457975459,3.8920851025213885,0.12047503287538754,False,0.11018906787535396,0.0021629592794594364
ridge_alpha_3e-04,Ridge,0.0003,0.005186126889861995,0.05277985367356508,0.05349813575932443,0.07403882831420187,0.004289392300643697,0.08562624288501433,0.039175967522571103,0.12018439393268977,-0.11234586045441042,0.9306569343065694,7.8968999128565756,3.8765129935282823,0.12047503287538,False,0.11634215826100569,0.0022669271265974805
ridge_alpha_1e-03,Ridge,0.001,0.0051871215088366415,0.0527938081502503,0.05348573876479813,0.07402440242761135,0.004268328628103698,0.08560769678479484,0.03916631169564297,0.12021302081758409,-0.11243509599777025,0.9306569343065694,7.062229023183435,3.8098528689089104,0.12047503287537695,False,0.11800492857644237,0.002312632403060956
