seed,feature_set,model,best_candidate,n_total_samples,n_train,n_val,n_test,n_features,best_val_mse,overall_mse,overall_mae,overall_rmse,overall_bias,negative_prediction_ratio_raw,negative_prediction_ratio,mean_true_damage,mean_pred_damage,mae_damaged,mae_high_damage,selected_feature_indices
1,full,elasticnet,elasticnet_alpha_0.003_l1_0.3,3000,2099,450,451,92,0.007873006305855993,0.007873413057631144,0.07046014295356742,0.08873225488868827,0.0012044692375062947,0.012195121951219513,0.0,0.05930618178209746,0.060510651019603755,0.11979121129723928,0.1760730344568744,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
2,full,elasticnet,elasticnet_alpha_0.003_l1_0.3,3000,2099,450,451,92,0.008192926295691943,0.007838510250297998,0.07051872077917462,0.08853536158111061,0.0025532983745416697,0.012195121951219513,0.0,0.057434609558705614,0.059987907933247285,0.11979119241210368,0.18016932846168157,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
3,full,elasticnet,elasticnet_alpha_0.003_l1_0.3,3000,2099,450,451,92,0.008132196329507766,0.007830688241660874,0.07057319716433211,0.08849117606666144,7.28981297607919e-05,0.012195121951219513,0.0,0.06013431139500941,0.0602072095247702,0.11751771815981427,0.17408760928609618,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
4,full,elasticnet,elasticnet_alpha_0.003_l1_0.3,3000,2099,450,451,92,0.00823176955598291,0.007690391785488975,0.07003747685005803,0.08769487890115919,0.0006815649552529142,0.01164079822616408,0.0,0.05972093293333937,0.06040249788859229,0.11551064412153318,0.17569985467948368,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
5,full,elasticnet,elasticnet_alpha_0.003_l1_0.3,3000,2099,450,451,92,0.007898630150526113,0.008162168603831748,0.07059738411163202,0.09034472095165133,-0.001369644414391874,0.01607538802660754,0.0,0.06102463781587287,0.059654993401481,0.12305796917116087,0.18154455401972067,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
6,full,elasticnet,elasticnet_alpha_0.003_l1_0.3,3000,2099,450,451,92,0.0078848613832569,0.008248405359565164,0.07144885086997588,0.09082073199201361,-0.0032503251148741138,0.012749445676274944,0.0,0.06289516606261333,0.05964484094773923,0.12074113552127995,0.1813044871452043,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
7,full,elasticnet,elasticnet_alpha_0.003_l1_0.3,3000,2099,450,451,92,0.007868597652783346,0.008256013561070632,0.07158762185662682,0.09086260815687953,-0.0003655190906838257,0.01385809312638581,0.0,0.06146198220924321,0.06109646311855938,0.11926843757728303,0.18245322153907198,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
8,full,elasticnet,elasticnet_alpha_0.003_l1_0.3,3000,2099,450,451,92,0.008274988995829225,0.00812083299470366,0.07114427265767458,0.09011566453566028,-0.0002787468811445232,0.019401330376940133,0.0,0.060678983411155935,0.06040023653001142,0.12086815319053952,0.17922609919245666,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
9,full,elasticnet,elasticnet_alpha_0.003_l1_0.3,3000,2099,450,451,92,0.008075863128098132,0.00884052238411446,0.07382292989459865,0.09402405215749032,-0.00477537716794911,0.015521064301552107,0.0,0.06375470736632481,0.058979330198375694,0.12928335935564214,0.1856779520474804,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
0,response_basic_only,ridge,ridge_alpha_0.01,3000,2099,450,451,52,0.0062954435886420895,0.005867558750258729,0.05771289862826773,0.07659999184241947,0.004417957808865267,0.11197339246119734,0.0,0.05946433302709287,0.06388229083595814,0.09304330433506715,0.13531132902428472,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 27 29 31 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
1,response_basic_only,ridge,ridge_alpha_0.01,3000,2099,450,451,52,0.006137811727202441,0.006471393338767717,0.06110593038886164,0.08044497087306152,0.004711719370361479,0.08702882483370289,0.0,0.05930618178209746,0.06401790115245894,0.10230834770276213,0.14456040522663482,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 27 29 31 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
2,response_basic_only,ridge,ridge_alpha_0.01,3000,2099,450,451,52,0.006555950006103154,0.00594996372403203,0.059318328693106735,0.07713600796017402,0.0055493083942637165,0.09534368070953436,0.0,0.057434609558705614,0.06298391795296933,0.0981923941762108,0.1422829397628137,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 27 29 31 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
3,response_basic_only,ridge,ridge_alpha_0.01,3000,2099,450,451,52,0.006350002658066061,0.006283405583665465,0.05965400839173134,0.07926793540685581,0.005297152024613304,0.10365853658536585,0.0,0.06013431139500941,0.06543146341962272,0.0967002475533291,0.13830940351561227,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 27 29 31 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
4,response_basic_only,ridge,ridge_alpha_0.01,3000,2099,450,451,52,0.006531771773576386,0.006028098518619389,0.05960877286733051,0.07764083022881317,0.004090971510100566,0.09146341463414634,0.0,0.05972093293333937,0.06381190444343994,0.09714650756694228,0.14091044939188865,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 27 29 31 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
5,response_basic_only,ridge,ridge_alpha_0.01,3000,2099,450,451,52,0.006207386186552751,0.006266741170121841,0.05906969777700766,0.0791627511530634,0.003070918309194724,0.11141906873614191,0.0,0.06102463781587287,0.0640955561250676,0.09976209919957708,0.1425703691084073,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 27 29 31 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
6,response_basic_only,ridge,ridge_alpha_0.01,3000,2099,450,451,52,0.006131617275755414,0.006146144848285739,0.05847258934421885,0.07839735230405258,0.0008797242111816072,0.1147450110864745,0.0,0.06289516606261333,0.06377489027379495,0.09844801309201989,0.14427150840843392,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 27 29 31 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
7,response_basic_only,ridge,ridge_alpha_0.01,3000,2099,450,451,52,0.006174588964121357,0.006604047802271378,0.06113424625266436,0.08126529272863894,0.0031947005020179554,0.09478935698447893,0.0,0.06146198220924321,0.06465668271126117,0.09984111319360359,0.1470034289128083,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 27 29 31 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
8,response_basic_only,ridge,ridge_alpha_0.01,3000,2099,450,451,52,0.006699197217758435,0.0061831409682655426,0.0592693898298069,0.07863295090650955,0.003229637475150327,0.08924611973392461,0.0,0.060678983411155935,0.06390862088630626,0.09987239820766401,0.14390010208508905,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 27 29 31 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
9,response_basic_only,ridge,ridge_alpha_0.01,3000,2099,450,451,52,0.006057338522087638,0.007176805883799715,0.06311921042724696,0.08471603085484893,-0.0013009515090147657,0.0975609756097561,0.0,0.06375470736632481,0.06245375585731005,0.1098551907074713,0.15474038909952714,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 27 29 31 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
