noise_level,noise_percent,tag,feature_set,model,test_mae,source_table,test_rmse,n_features,mae_on_damaged_entries,mean_prediction_on_zero_entries,config_label
0.02,2.0,debug_noise_002_1000,no_meta,elasticnet,0.0473898506224148,results/tables/physics_ablation/debug_noise_002_1000/ablation_model_comparison_fixed.csv,0.0636402698049742,86,0.0710051044042513,0.0371885118765619,no_meta + elasticnet
0.02,2.0,debug_noise_002_1000,physics_no_meta_core,elasticnet,0.0473898506224148,results/tables/physics_ablation/debug_noise_002_1000/ablation_model_comparison_fixed.csv,0.0636402698049742,86,0.0710051044042513,0.0371885118765619,physics_no_meta_core + elasticnet
0.02,2.0,debug_noise_002_1000,response_correlation,ridge,0.0484129184615485,results/tables/physics_ablation/debug_noise_002_1000/ablation_model_comparison_fixed.csv,0.0663428424400176,59,0.0702558488694223,0.0389771895741376,response_correlation + ridge
0.02,2.0,debug_noise_002_1000,response_correlation,elasticnet,0.0542413027281798,results/tables/physics_ablation/debug_noise_002_1000/ablation_model_comparison_fixed.csv,0.0714392290738532,59,0.0818095478566936,0.0423323471953373,response_correlation + elasticnet
0.02,2.0,debug_noise_002_1000,response_frequency,elasticnet,0.0559375228818064,results/tables/physics_ablation/debug_noise_002_1000/ablation_model_comparison_fixed.csv,0.0746480905030025,75,0.0889728608521011,0.0416668876249487,response_frequency + elasticnet
0.02,2.0,debug_noise_002_1000,response_spatial,ridge,0.0562447152905675,results/tables/physics_ablation/debug_noise_002_1000/ablation_model_comparison_fixed.csv,0.0749693608308627,64,0.0867831513988501,0.0430526939645552,response_spatial + ridge
0.02,2.0,debug_noise_002_1000,response_basic_only,ridge,0.0586360553083398,results/tables/physics_ablation/debug_noise_002_1000/ablation_model_comparison_fixed.csv,0.0769708584854179,52,0.0917001845380694,0.0443529827771201,response_basic_only + ridge
0.02,2.0,debug_noise_002_1000,response_spatial,elasticnet,0.0618776409023921,results/tables/physics_ablation/debug_noise_002_1000/ablation_model_comparison_fixed.csv,0.080382175911883,64,0.0961093491550502,0.0470901965259456,response_spatial + elasticnet
0.02,2.0,debug_noise_002_1000,response_basic_only,elasticnet,0.0647326425603005,results/tables/physics_ablation/debug_noise_002_1000/ablation_model_comparison_fixed.csv,0.082803485702403,52,0.1019838573653277,0.0486408290049068,response_basic_only + elasticnet
0.02,2.0,debug_noise_002_1000,full,random_forest,0.0703641342315652,results/tables/physics_ablation/debug_noise_002_1000/ablation_model_comparison_fixed.csv,0.0911861466812394,92,0.1157349346615717,0.0507648147140683,full + random_forest
0.02,2.0,debug_noise_002_1000,no_meta,random_forest,0.0705244257029709,results/tables/physics_ablation/debug_noise_002_1000/ablation_model_comparison_fixed.csv,0.0913492941987386,86,0.1156920184252559,0.0510128880353489,no_meta + random_forest
