feature_set,model,n_runs,n_features,overall_mae_mean,overall_mae_std,overall_rmse_mean,overall_rmse_std,overall_bias_mean,overall_bias_std,mean_true_damage,mean_pred_damage,mae_damaged_mean,high_damage_mae_mean,high_damage_mae_std,high_damage_underestimation_ratio_mean
full,ridge,10,92,0.04067901669878463,0.0012326958290782982,0.06001030627458056,0.001888418888363317,0.005767644297101074,0.001716762106110777,0.06058758455614549,0.06635522885324656,0.06629424703165022,0.08880638198508384,0.003912637299458636,0.8213991403646574
no_meta,ridge,10,87,0.043867250864378385,0.0011493710135451372,0.06308992802961885,0.0019996853656425993,0.006051963089208629,0.0021789036541641532,0.06058758455614549,0.06663954764535412,0.0710583557294803,0.09480848503181775,0.004728016550876094,0.8495051552524906
response_basic_only,ridge,10,52,0.05984650726002427,0.0015529178321155661,0.07932641142584373,0.0023688977996158046,0.0033141138096734178,0.002108433768649166,0.06058758455614549,0.06390169836581891,0.09951696157346474,0.14338603245355,0.00520062055235993,0.9560369535839361
full,elasticnet,10,92,0.0709429389172444,0.0012201818858818805,0.08958438423717102,0.0021506672269744616,-0.00043817209617084545,0.0021931353824236987,0.06058758455614549,0.06014941245997465,0.11973601876754772,0.17871634013122234,0.004443194691967511,0.996729130078088
