feature_set,estimator,experiment_dir,metrics_path,model,best_candidate,condition_mode,output_mode,final_mode,n_features,best_epoch,best_val_mse,test_mse,test_mae,test_rmse,negative_prediction_ratio,mean_prediction_on_zero_entries,mae_on_damaged_entries,mean_true_damage,mean_pred_damage,precision_macro,recall_macro,f1_macro,exact_mask_match_ratio
full,ridge,results/tables/physics_ablation/debug_noise_015_1000/full/ridge,results/tables/physics_ablation/debug_noise_015_1000/full/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,92,not_available,0.0036104979986701703,0.004165814483486173,0.04314116381924483,0.06454312111670904,0.0,0.03101946279644214,0.06889977849270056,0.06443414394922412,0.06970062794877692,not_available,not_available,not_available,not_available
no_meta,ridge,results/tables/physics_ablation/debug_noise_015_1000/no_meta/ridge,results/tables/physics_ablation/debug_noise_015_1000/no_meta/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,86,not_available,0.003948803382444569,0.004670438726843903,0.04642338508845312,0.06834060818315786,0.0,0.03318172934688564,0.074561903539284,0.06443414394922412,0.07013334358486328,not_available,not_available,not_available,not_available
physics_no_meta_core,ridge,results/tables/physics_ablation/debug_noise_015_1000/physics_no_meta_core/ridge,results/tables/physics_ablation/debug_noise_015_1000/physics_no_meta_core/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,86,not_available,0.003948803382444569,0.004670438726843903,0.04642338508845312,0.06834060818315786,0.0,0.03318172934688564,0.074561903539284,0.06443414394922412,0.07013334358486328,not_available,not_available,not_available,not_available
full,elasticnet,results/tables/physics_ablation/debug_noise_015_1000/full/elasticnet,results/tables/physics_ablation/debug_noise_015_1000/full/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,92,not_available,0.0047540729588177125,0.005179630034216597,0.05136331587105658,0.07196964661728301,0.0,0.035914770657169734,0.08419147445056614,0.06443414394922412,0.06528528167153584,not_available,not_available,not_available,not_available
response_correlation,ridge,results/tables/physics_ablation/debug_noise_015_1000/response_correlation/ridge,results/tables/physics_ablation/debug_noise_015_1000/response_correlation/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,59,not_available,0.00474514372023121,0.005446660564885983,0.052207322612129854,0.07380149432691714,0.0,0.03792504038491112,0.08255717234496966,0.06443414394922412,0.0674002710120228,not_available,not_available,not_available,not_available
response_frequency,ridge,results/tables/physics_ablation/debug_noise_015_1000/response_frequency/ridge,results/tables/physics_ablation/debug_noise_015_1000/response_frequency/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,75,not_available,0.005296307442970282,0.005527450188837279,0.05317206265599566,0.07434682366340394,0.0,0.03750907726346826,0.08645590661511639,0.06443414394922412,0.06927368703088216,not_available,not_available,not_available,not_available
no_meta,elasticnet,results/tables/physics_ablation/debug_noise_015_1000/no_meta/elasticnet,results/tables/physics_ablation/debug_noise_015_1000/no_meta/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,86,not_available,0.004989501322249833,0.00542140723280131,0.05318497247932474,0.07363020598097841,0.0,0.03720099562630602,0.0871509232919895,0.06443414394922412,0.06537014666129079,not_available,not_available,not_available,not_available
physics_no_meta_core,elasticnet,results/tables/physics_ablation/debug_noise_015_1000/physics_no_meta_core/elasticnet,results/tables/physics_ablation/debug_noise_015_1000/physics_no_meta_core/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,86,not_available,0.004989501322249833,0.00542140723280131,0.05318497247932474,0.07363020598097841,0.0,0.03720099562630602,0.0871509232919895,0.06443414394922412,0.06537014666129079,not_available,not_available,not_available,not_available
response_correlation,elasticnet,results/tables/physics_ablation/debug_noise_015_1000/response_correlation/elasticnet,results/tables/physics_ablation/debug_noise_015_1000/response_correlation/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,59,not_available,0.005755731627963684,0.006271325192624533,0.058337154141284236,0.07919169901337218,0.0,0.04151655294015753,0.09408093169367847,0.06443414394922412,0.0642551473908573,not_available,not_available,not_available,not_available
response_frequency,elasticnet,results/tables/physics_ablation/debug_noise_015_1000/response_frequency/elasticnet,results/tables/physics_ablation/debug_noise_015_1000/response_frequency/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,75,not_available,0.0063453375038656345,0.00670361799175686,0.06088798359749335,0.08187562513811336,0.0,0.042314027295933754,0.10035764073830751,0.06443414394922412,0.06469380476652226,not_available,not_available,not_available,not_available
